ko:K14021	hsa:578
ko:K04300	hsa:54328
ko:K04301	hsa:2850
ko:K04451	hsa:7157
ko:K04452	hsa:1649
ko:K04453	hsa:4149
ko:K04454	hsa:4208
ko:K04302	hsa:54329
ko:K04304	hsa:57007
ko:K04305	hsa:1880
ko:K04307	hsa:122042
ko:K04455	hsa:3315
ko:K04306	hsa:59350
ko:K04311	hsa:2827
ko:K04310	hsa:2825
ko:K04345	hsa:5566
ko:K04346	hsa:2768
ko:K04312	hsa:2828
ko:K04347	hsa:55970
ko:K04348	hsa:5530
ko:K04348	hsa:5532
ko:K04348	hsa:5533
ko:K04345	hsa:5567
ko:K04345	hsa:5568
ko:K04355	hsa:627
ko:K04356	hsa:4908
ko:K04313	hsa:2830
ko:K04315	hsa:2835
ko:K04316	hsa:2842
ko:K04349	hsa:5923
ko:K04317	hsa:2843
ko:K04318	hsa:2844
ko:K04319	hsa:2845
ko:K04350	hsa:10125
ko:K04321	hsa:81491
ko:K04323	hsa:57105
ko:K03176	hsa:4914
ko:K04322	hsa:10800
ko:K04324	hsa:116511
ko:K04360	hsa:4915
ko:K04370	hsa:8649
ko:K04380	hsa:4137
ko:K04381	hsa:3925
ko:K04364	hsa:2885
ko:K03099	hsa:6654
ko:K03099	hsa:6655
ko:K03156	hsa:7124
ko:K04386	hsa:3554
ko:K25533	hsa:200162
ko:K04387	hsa:7850
ko:K04406	hsa:8491
ko:K04407	hsa:9448
ko:K04389	hsa:356
ko:K04487	hsa:9054
ko:K04390	hsa:355
ko:K04391	hsa:929
ko:K01370	hsa:834
ko:K04408	hsa:11184
ko:K04409	hsa:5058
ko:K02186	hsa:835
ko:K02187	hsa:836
ko:K04410	hsa:5062
ko:K04394	hsa:837
ko:K04411	hsa:6789
ko:K04395	hsa:838
ko:K04412	hsa:6788
ko:K04413	hsa:50488
ko:K04396	hsa:839
ko:K04397	hsa:840
ko:K04398	hsa:841
ko:K04399	hsa:842
ko:K04414	hsa:5871
ko:K04400	hsa:843
ko:K04401	hsa:23581
ko:K03173	hsa:7186
ko:K02308	hsa:1616
ko:K03175	hsa:7189
ko:K04415	hsa:1326
ko:K04402	hsa:1647
ko:K04402	hsa:4616
ko:K04402	hsa:10912
ko:K04416	hsa:4214
ko:K04417	hsa:4293
ko:K04418	hsa:4294
ko:K04419	hsa:4296
ko:K04420	hsa:10746
ko:K04421	hsa:4215
ko:K04422	hsa:9175
ko:K04423	hsa:7786
ko:K04425	hsa:9064
ko:K04426	hsa:4217
ko:K04427	hsa:6885
ko:K04428	hsa:4216
ko:K04403	hsa:10454
ko:K04404	hsa:23118
ko:K04405	hsa:51295
ko:K04461	hsa:5495
ko:K04457	hsa:5494
ko:K14990	hsa:81539
ko:K05699	hsa:87
ko:K05769	hsa:50649
ko:K00419	hsa:29796
ko:K00889	hsa:23396
ko:K00889	hsa:8394
ko:K00889	hsa:8395
ko:K05691	hsa:29119
ko:K05770	hsa:706
ko:K05771	hsa:2908
ko:K02273	hsa:341947
ko:K08155	hsa:6570
ko:K08155	hsa:6571
ko:K05764	hsa:7114
ko:K05764	hsa:9087
ko:K05750	hsa:10787
ko:K05750	hsa:3071
ko:K04246	hsa:2852
ko:K06268	hsa:5534
ko:K06268	hsa:5535
ko:K04446	hsa:4772
ko:K05629	hsa:9863
ko:K05630	hsa:11060
ko:K05631	hsa:9223
ko:K05633	hsa:11059
ko:K05634	hsa:5621
ko:K05635	hsa:3915
ko:K05636	hsa:3912
ko:K05637	hsa:284217
ko:K05638	hsa:4780
ko:K05639	hsa:333
ko:K05640	hsa:2670
ko:K05688	hsa:65018
ko:K05687	hsa:11315
ko:K00501	hsa:7054
ko:K05690	hsa:1500
ko:K05689	hsa:999
ko:K05691	hsa:1495
ko:K05691	hsa:1496
ko:K05717	hsa:2335
ko:K05720	hsa:2245
ko:K05721	hsa:221472
ko:K05723	hsa:121512
ko:K05724	hsa:152273
ko:K05724	hsa:55785
ko:K05722	hsa:89846
ko:K05725	hsa:5747
ko:K05726	hsa:9564
ko:K05727	hsa:1795
ko:K04438	hsa:1399
ko:K05728	hsa:1445
ko:K05729	hsa:9459
ko:K05730	hsa:10451
ko:K05730	hsa:7409
ko:K05730	hsa:7410
ko:K05731	hsa:7074
ko:K05732	hsa:2909
ko:K05733	hsa:5063
ko:K05736	hsa:57144
ko:K05734	hsa:10298
ko:K05735	hsa:56924
ko:K05737	hsa:28964
ko:K05738	hsa:4632
ko:K05740	hsa:1729
ko:K05741	hsa:1730
ko:K05742	hsa:6548
ko:K05743	hsa:3984
ko:K05744	hsa:3985
ko:K05745	hsa:81624
ko:K05747	hsa:7454
ko:K05751	hsa:10152
ko:K05752	hsa:55845
ko:K05753	hsa:8936
ko:K05748	hsa:10163
ko:K06083	hsa:10810
ko:K05755	hsa:10093
ko:K05756	hsa:10094
ko:K05758	hsa:10109
ko:K05757	hsa:10095
ko:K05757	hsa:10552
ko:K05754	hsa:10092
ko:K05754	hsa:81873
ko:K05759	hsa:345456
ko:K05759	hsa:5216
ko:K05759	hsa:5217
ko:K05760	hsa:5829
ko:K05762	hsa:5962
ko:K05763	hsa:4478
ko:K05766	hsa:54434
ko:K05766	hsa:54961
ko:K05766	hsa:85464
ko:K05765	hsa:1072
ko:K05765	hsa:1073
ko:K05700	hsa:7414
ko:K05767	hsa:10788
ko:K05767	hsa:128239
ko:K05768	hsa:2934
ko:K05699	hsa:81
ko:K09278	hsa:860
ko:K25192	hsa:114804
ko:K21421	hsa:1536
ko:K10699	hsa:55236
ko:K10698	hsa:7318
ko:K01338	hsa:83752
ko:K03495	hsa:25821
ko:K02183	hsa:810
ko:K05229	hsa:5367
ko:K01793	hsa:26035
ko:K05230	hsa:1667
ko:K02685	hsa:5558
ko:K03240	hsa:8893
ko:K05230	hsa:1668
ko:K02581	hsa:4793
ko:K01017	hsa:50515
ko:K04742	hsa:55501
ko:K01020	hsa:9469
ko:K05230	hsa:1669
ko:K05230	hsa:1670
ko:K04743	hsa:56548
ko:K06253	hsa:3381
ko:K05230	hsa:1671
ko:K06254	hsa:375790
ko:K06255	hsa:3339
ko:K06256	hsa:960
ko:K06257	hsa:6382
ko:K06259	hsa:948
ko:K06260	hsa:2814
ko:K06261	hsa:2811
ko:K05231	hsa:181
ko:K05232	hsa:4852
ko:K06262	hsa:2812
ko:K05233	hsa:5697
ko:K06263	hsa:2815
ko:K05234	hsa:5539
ko:K06264	hsa:51206
ko:K06265	hsa:1605
ko:K05235	hsa:4922
ko:K05236	hsa:1314
ko:K05237	hsa:6750
ko:K05238	hsa:1325
ko:K06266	hsa:961
ko:K05239	hsa:6863
ko:K06267	hsa:3161
ko:K06270	hsa:4659
ko:K06271	hsa:7094
ko:K06271	hsa:83660
ko:K06272	hsa:3611
ko:K06273	hsa:7791
ko:K06269	hsa:5499
ko:K06269	hsa:5500
ko:K06269	hsa:5501
ko:K05240	hsa:6866
ko:K05241	hsa:255061
ko:K05242	hsa:551
ko:K06275	hsa:29780
ko:K06275	hsa:55742
ko:K06275	hsa:64098
ko:K05243	hsa:5020
ko:K05244	hsa:51083
ko:K06277	hsa:2889
ko:K06278	hsa:857
ko:K05246	hsa:3060
ko:K05247	hsa:8620
ko:K05248	hsa:10911
ko:K05249	hsa:10874
ko:K05250	hsa:2488
ko:K05252	hsa:2796
ko:K06279	hsa:6464
ko:K05252	hsa:2797
ko:K06248	hsa:1101
ko:K05253	hsa:7200
ko:K06240	hsa:3909
ko:K05254	hsa:51738
ko:K06247	hsa:10319
ko:K06241	hsa:3910
ko:K06243	hsa:3913
ko:K06246	hsa:3918
ko:K06244	hsa:3914
ko:K06245	hsa:22798
ko:K06249	hsa:5649
ko:K06250	hsa:6696
ko:K06251	hsa:7448
ko:K06252	hsa:3371
ko:K06252	hsa:63923
ko:K06252	hsa:7143
ko:K05255	hsa:11172
ko:K04737	hsa:3563
ko:K04738	hsa:1439
ko:K02649	hsa:5295
ko:K04456	hsa:208
ko:K04704	hsa:10252
ko:K04456	hsa:10000
ko:K04739	hsa:5573
ko:K04739	hsa:5576
ko:K04739	hsa:5577
ko:K04705	hsa:10254
ko:K04705	hsa:8027
ko:K04739	hsa:5575
ko:K03172	hsa:7185
ko:K03174	hsa:7187
ko:K02374	hsa:5783
ko:K02832	hsa:8738
ko:K02163	hsa:599
ko:K02512	hsa:8739
ko:K02539	hsa:4170
ko:K02162	hsa:597
ko:K02561	hsa:666
ko:K04693	hsa:10379
ko:K00923	hsa:5288
ko:K00922	hsa:5290
ko:K00922	hsa:5293
ko:K01022	hsa:8534
ko:K04745	hsa:9435
ko:K04746	hsa:10164
ko:K00922	hsa:5291
ko:K03165	hsa:7156
ko:K00506	hsa:7306
ko:K00888	hsa:5297
ko:K05051	hsa:134860
ko:K00949	hsa:27010
ko:K05051	hsa:319100
ko:K05051	hsa:134864
ko:K05051	hsa:83551
ko:K05223	hsa:4828
ko:K05224	hsa:2922
ko:K00286	hsa:65263
ko:K05225	hsa:8862
ko:K00586	hsa:51611
ko:K00814	hsa:84706
ko:K05226	hsa:885
ko:K01939	hsa:122622
ko:K05749	hsa:23191
ko:K05749	hsa:26999
ko:K05227	hsa:1908
ko:K05228	hsa:5443
ko:K08900	hsa:617
ko:K06252	hsa:7148
ko:K04721	hsa:8743
ko:K04722	hsa:8797
ko:K04723	hsa:3556
ko:K02373	hsa:8772
ko:K03171	hsa:8717
ko:K04724	hsa:8837
ko:K04725	hsa:331
ko:K04726	hsa:637
ko:K02084	hsa:317
ko:K02310	hsa:1676
ko:K02311	hsa:1677
ko:K04727	hsa:9131
ko:K04728	hsa:472
ko:K02861	hsa:8737
ko:K04729	hsa:4615
ko:K04730	hsa:3654
ko:K04731	hsa:3656
ko:K04734	hsa:4792
ko:K04735	hsa:5970
ko:K04736	hsa:3562
ko:K05256	hsa:1392
ko:K05258	hsa:2695
ko:K05259	hsa:2641
ko:K05260	hsa:2691
ko:K05261	hsa:5741
ko:K05262	hsa:116
ko:K05263	hsa:6343
ko:K05264	hsa:7432
ko:K05265	hsa:4295
ko:K05266	hsa:2862
ko:K05267	hsa:256933
ko:K05269	hsa:51052
ko:K05438	hsa:2688
ko:K10683	hsa:580
ko:K14009	hsa:10134
ko:K05065	hsa:149233
ko:K05066	hsa:1438
ko:K05067	hsa:3568
ko:K05068	hsa:3559
ko:K05069	hsa:3560
ko:K05070	hsa:3561
ko:K02540	hsa:4171
ko:K05071	hsa:3566
ko:K05072	hsa:3575
ko:K05073	hsa:3581
ko:K05074	hsa:3601
ko:K05075	hsa:50615
ko:K05076	hsa:3597
ko:K05077	hsa:3598
ko:K05078	hsa:64109
ko:K05079	hsa:2057
ko:K05080	hsa:2690
ko:K05082	hsa:4352
ko:K10755	hsa:5984
ko:K14005	hsa:22872
ko:K05677	hsa:5825
ko:K02583	hsa:4804
ko:K05678	hsa:5826
ko:K05153	hsa:608
ko:K05679	hsa:9619
ko:K05680	hsa:64137
ko:K05681	hsa:9429
ko:K05683	hsa:64240
ko:K05684	hsa:64241
ko:K05626	hsa:1822
ko:K05627	hsa:10458
ko:K05628	hsa:473
ko:K05154	hsa:8784
ko:K05155	hsa:55504
ko:K05156	hsa:84957
ko:K05157	hsa:27242
ko:K05160	hsa:8718
ko:K05162	hsa:10913
ko:K05163	hsa:60401
ko:K05164	hsa:23765
ko:K05165	hsa:55540
ko:K05166	hsa:84818
ko:K05167	hsa:54756
ko:K05621	hsa:7047
ko:K05622	hsa:9333
ko:K05623	hsa:116179
ko:K05624	hsa:343641
ko:K05641	hsa:19
ko:K05642	hsa:20
ko:K05643	hsa:21
ko:K05644	hsa:24
ko:K05645	hsa:10347
ko:K05646	hsa:26154
ko:K05647	hsa:154664
ko:K05648	hsa:23461
ko:K05649	hsa:23460
ko:K05650	hsa:10351
ko:K05651	hsa:10350
ko:K05652	hsa:10349
ko:K05653	hsa:6890
ko:K05654	hsa:6891
ko:K05655	hsa:11194
ko:K05656	hsa:23457
ko:K05657	hsa:23456
ko:K05658	hsa:5243
ko:K05659	hsa:5244
ko:K05660	hsa:340273
ko:K05661	hsa:10058
ko:K05662	hsa:22
ko:K05664	hsa:8647
ko:K05666	hsa:1244
ko:K05667	hsa:8714
ko:K20012	hsa:392255
ko:K25174	hsa:55182
ko:K05168	hsa:132014
ko:K05170	hsa:11141
ko:K05171	hsa:9173
ko:K05172	hsa:8808
ko:K05173	hsa:8809
ko:K05174	hsa:8807
ko:K05611	hsa:7345
ko:K05610	hsa:51377
ko:K05609	hsa:7347
ko:K05613	hsa:6506
ko:K05612	hsa:6505
ko:K05614	hsa:6507
ko:K05615	hsa:6509
ko:K05617	hsa:6511
ko:K05616	hsa:6510
ko:K05618	hsa:6512
ko:K05625	hsa:7052
ko:K05619	hsa:7051
ko:K05620	hsa:7053
ko:K14004	hsa:6396
ko:K10756	hsa:5985
ko:K24341	hsa:133584
ko:K05083	hsa:2064
ko:K05084	hsa:2065
ko:K05085	hsa:2066
ko:K05086	hsa:3645
ko:K05087	hsa:3480
ko:K05088	hsa:6098
ko:K05090	hsa:1436
ko:K05091	hsa:3815
ko:K05092	hsa:2322
ko:K05096	hsa:2321
ko:K05097	hsa:2324
ko:K05098	hsa:3791
ko:K05099	hsa:4233
ko:K05100	hsa:4486
ko:K05101	hsa:4916
ko:K05102	hsa:2041
ko:K05103	hsa:1969
ko:K05104	hsa:2042
ko:K05105	hsa:2043
ko:K05106	hsa:2044
ko:K03469	hsa:246243
ko:K05108	hsa:2045
ko:K05109	hsa:2046
ko:K05110	hsa:2047
ko:K05111	hsa:2048
ko:K05112	hsa:2049
ko:K05113	hsa:2050
ko:K05114	hsa:2051
ko:K05115	hsa:558
ko:K05116	hsa:7301
ko:K05117	hsa:10461
ko:K05118	hsa:4058
ko:K05119	hsa:238
ko:K05120	hsa:7075
ko:K05121	hsa:7010
ko:K05122	hsa:4919
ko:K05123	hsa:4920
ko:K05124	hsa:780
ko:K05125	hsa:4921
ko:K05126	hsa:5979
ko:K05127	hsa:5754
ko:K05128	hsa:6259
ko:K01581	hsa:4953
ko:K05129	hsa:4593
ko:K05132	hsa:3459
ko:K05133	hsa:3460
ko:K05134	hsa:3587
ko:K05135	hsa:3588
ko:K05136	hsa:53832
ko:K05138	hsa:58985
ko:K05139	hsa:116379
ko:K05140	hsa:163702
ko:K05141	hsa:7133
ko:K03159	hsa:4055
ko:K05142	hsa:7293
ko:K03160	hsa:958
ko:K05143	hsa:8771
ko:K05144	hsa:939
ko:K05145	hsa:943
ko:K05146	hsa:3604
ko:K05147	hsa:8792
ko:K05148	hsa:4982
ko:K05149	hsa:51330
ko:K05150	hsa:23495
ko:K05151	hsa:115650
ko:K05668	hsa:10057
ko:K05669	hsa:368
ko:K05672	hsa:94160
ko:K05673	hsa:10257
ko:K05674	hsa:89845
ko:K05152	hsa:8764
ko:K05675	hsa:215
ko:K05676	hsa:225
ko:K14016	hsa:7353
ko:K14015	hsa:55666
ko:K12310	hsa:1486
ko:K17552	hsa:5514
ko:K09613	hsa:10987
ko:K19977	hsa:116969
ko:K22755	hsa:23376
ko:K09651	hsa:84236
ko:K10802	hsa:3146
ko:K09644	hsa:4018
ko:K09645	hsa:54504
ko:K09646	hsa:59342
ko:K09647	hsa:196294
ko:K09652	hsa:57414
ko:K09614	hsa:10699
ko:K09615	hsa:25823
ko:K09648	hsa:83943
ko:K09649	hsa:10279
ko:K09650	hsa:55486
ko:K09632	hsa:1506
ko:K09633	hsa:7113
ko:K09634	hsa:64699
ko:K09635	hsa:56649
ko:K09636	hsa:80975
ko:K08504	hsa:51272
ko:K09608	hsa:7092
ko:K09610	hsa:9427
ko:K09611	hsa:79716
ko:K10706	hsa:23064
ko:K08716	hsa:6563
ko:K09640	hsa:360200
ko:K09641	hsa:9407
ko:K09642	hsa:28983
ko:K09643	hsa:84000
ko:K13801	hsa:407
ko:K10728	hsa:11073
ko:K10730	hsa:9401
ko:K10732	hsa:9837
ko:K05291	hsa:94005
ko:K05292	hsa:51604
ko:K04974	hsa:56302
ko:K04971	hsa:51393
ko:K10749	hsa:51053
ko:K10750	hsa:10036
ko:K05293	hsa:128869
ko:K05290	hsa:10026
ko:K04972	hsa:162514
ko:K05289	hsa:8733
ko:K05294	hsa:80055
ko:K05310	hsa:54872
ko:K04362	hsa:2260
ko:K09637	hsa:164656
ko:K09638	hsa:344805
ko:K13511	hsa:6901
ko:K15425	hsa:151987
ko:K09621	hsa:43849
ko:K09622	hsa:43847
ko:K09623	hsa:55554
ko:K09624	hsa:8492
ko:K09625	hsa:10942
ko:K00731	hsa:56913
ko:K08592	hsa:29843
ko:K08594	hsa:205564
ko:K08595	hsa:26054
ko:K08597	hsa:123228
ko:K10752	hsa:5928
ko:K10751	hsa:8208
ko:K10753	hsa:25842
ko:K09609	hsa:80070
ko:K09616	hsa:2999
ko:K09617	hsa:25818
ko:K08593	hsa:26168
ko:K10758	hsa:5768
ko:K10758	hsa:169714
ko:K08832	hsa:26576
ko:K08828	hsa:22858
ko:K07375	hsa:84617
ko:K07375	hsa:203068
ko:K07376	hsa:5592
ko:K03927	hsa:8824
ko:K09618	hsa:284366
ko:K09619	hsa:5655
ko:K09620	hsa:11012
ko:K05005	hsa:3768
ko:K05007	hsa:3770
ko:K05009	hsa:3773
ko:K04995	hsa:3758
ko:K05003	hsa:3766
ko:K05006	hsa:3769
ko:K05008	hsa:3772
ko:K04996	hsa:3759
ko:K04997	hsa:3760
ko:K04998	hsa:3761
ko:K04999	hsa:3762
ko:K05000	hsa:3763
ko:K05001	hsa:3764
ko:K05002	hsa:3765
ko:K00621	hsa:64841
ko:K05011	hsa:1181
ko:K05017	hsa:1187
ko:K05016	hsa:1186
ko:K05015	hsa:1185
ko:K05012	hsa:1182
ko:K01313	hsa:2147
ko:K01343	hsa:5327
ko:K01348	hsa:5328
ko:K05019	hsa:1207
ko:K04175	hsa:3577
ko:K05050	hsa:3579
ko:K05021	hsa:1192
ko:K05024	hsa:25932
ko:K05025	hsa:53405
ko:K05026	hsa:54102
ko:K05023	hsa:9022
ko:K04363	hsa:5156
ko:K05022	hsa:1193
ko:K05089	hsa:5159
ko:K05027	hsa:1179
ko:K05030	hsa:22802
ko:K05028	hsa:9635
ko:K05283	hsa:284098
ko:K05284	hsa:93183
ko:K05031	hsa:1080
ko:K05033	hsa:10060
ko:K05034	hsa:6529
ko:K05038	hsa:9152
ko:K05039	hsa:6533
ko:K05285	hsa:23556
ko:K04257	hsa:119774
ko:K04257	hsa:120065
ko:K04257	hsa:120066
ko:K05035	hsa:6530
ko:K05036	hsa:6531
ko:K04257	hsa:120586
ko:K04257	hsa:120775
ko:K05037	hsa:6532
ko:K05048	hsa:55117
ko:K05286	hsa:9488
ko:K04332	hsa:5729
ko:K05287	hsa:5281
ko:K05288	hsa:84720
ko:K05251	hsa:7252
ko:K05257	hsa:114131
ko:K05257	hsa:90226
ko:K05334	hsa:340024
ko:K05093	hsa:2263
ko:K05094	hsa:2261
ko:K05095	hsa:2264
ko:K04858	hsa:781
ko:K04859	hsa:9254
ko:K04861	hsa:93589
ko:K04860	hsa:55799
ko:K04344	hsa:773
ko:K04849	hsa:774
ko:K04852	hsa:777
ko:K04857	hsa:779
ko:K04850	hsa:775
ko:K04851	hsa:776
ko:K04853	hsa:778
ko:K04855	hsa:8912
ko:K04856	hsa:8911
ko:K04862	hsa:782
ko:K04863	hsa:783
ko:K04865	hsa:785
ko:K04864	hsa:784
ko:K04866	hsa:786
ko:K04867	hsa:10369
ko:K04969	hsa:7225
ko:K04964	hsa:7220
ko:K04967	hsa:7223
ko:K04968	hsa:7224
ko:K04966	hsa:7222
ko:K04970	hsa:57113
ko:K04977	hsa:7226
ko:K04983	hsa:79054
ko:K01324	hsa:3818
ko:K01323	hsa:2160
ko:K01321	hsa:2158
ko:K04869	hsa:27092
ko:K04873	hsa:59283
ko:K01320	hsa:2155
ko:K04872	hsa:59284
ko:K01314	hsa:2159
ko:K04868	hsa:10368
ko:K04870	hsa:27091
ko:K04871	hsa:59285
ko:K05010	hsa:1180
ko:K04007	hsa:4179
ko:K04960	hsa:3710
ko:K04959	hsa:3709
ko:K04958	hsa:3708
ko:K05350	hsa:57733
ko:K04257	hsa:119678
ko:K04257	hsa:119679
ko:K04257	hsa:119682
ko:K04257	hsa:119687
ko:K04257	hsa:119692
ko:K01344	hsa:5624
ko:K01330	hsa:715
ko:K04257	hsa:119694
ko:K04257	hsa:119695
ko:K01315	hsa:5340
ko:K01300	hsa:1361
ko:K01331	hsa:716
ko:K01332	hsa:717
ko:K04257	hsa:119749
ko:K04257	hsa:119764
ko:K04257	hsa:119772
ko:K01335	hsa:629
ko:K01334	hsa:1675
ko:K01333	hsa:3426
ko:K04981	hsa:140803
ko:K04982	hsa:54822
ko:K04976	hsa:4308
ko:K04979	hsa:54795
ko:K04980	hsa:29850
ko:K04984	hsa:8989
ko:K04985	hsa:5310
ko:K04986	hsa:5311
ko:K04988	hsa:114780
ko:K04987	hsa:168507
ko:K04991	hsa:27039
ko:K04990	hsa:9033
ko:K04992	hsa:57192
ko:K04993	hsa:255231
ko:K04994	hsa:55283
ko:K05004	hsa:3767
ko:K08745	hsa:376497
ko:K08772	hsa:11000
ko:K08749	hsa:28965
ko:K08750	hsa:2168
ko:K08751	hsa:2169
ko:K08752	hsa:2170
ko:K08753	hsa:2167
ko:K08552	hsa:2101
ko:K08553	hsa:2103
ko:K04236	hsa:9002
ko:K04238	hsa:3061
ko:K04239	hsa:3062
ko:K04242	hsa:11318
ko:K04243	hsa:2861
ko:K05442	hsa:338376
ko:K05443	hsa:3586
ko:K08554	hsa:2104
ko:K08556	hsa:5241
ko:K08557	hsa:367
ko:K08748	hsa:10998
ko:K08765	hsa:1374
ko:K08766	hsa:1376
ko:K10575	hsa:7326
ko:K08360	hsa:1534
ko:K03283	hsa:3312
ko:K03283	hsa:3303
ko:K06092	hsa:10207
ko:K06093	hsa:50855
ko:K06093	hsa:84552
ko:K06093	hsa:84612
ko:K06094	hsa:3993
ko:K06094	hsa:3996
ko:K00807	hsa:4056
ko:K05956	hsa:5876
ko:K01110	hsa:5728
ko:K04129	hsa:1128
ko:K04130	hsa:1129
ko:K04131	hsa:1131
ko:K04132	hsa:1132
ko:K04133	hsa:1133
ko:K04797	hsa:5204
ko:K04802	hsa:5111
ko:K05434	hsa:59067
ko:K05436	hsa:85480
ko:K04799	hsa:2237
ko:K05437	hsa:2056
ko:K05440	hsa:3467
ko:K05441	hsa:56832
ko:K04794	hsa:51651
ko:K04166	hsa:185
ko:K04167	hsa:186
ko:K04168	hsa:4829
ko:K04169	hsa:2925
ko:K04170	hsa:680
ko:K04171	hsa:27202
ko:K04172	hsa:2357
ko:K04173	hsa:2359
ko:K04174	hsa:187
ko:K04176	hsa:1230
ko:K04178	hsa:1232
ko:K04179	hsa:1233
ko:K04180	hsa:1234
ko:K04181	hsa:1235
ko:K04182	hsa:1236
ko:K04183	hsa:1237
ko:K04184	hsa:10803
ko:K04186	hsa:51554
ko:K04189	hsa:7852
ko:K04191	hsa:10663
ko:K04192	hsa:1524
ko:K04193	hsa:2829
ko:K04194	hsa:886
ko:K04195	hsa:887
ko:K04197	hsa:1909
ko:K04198	hsa:1910
ko:K04199	hsa:4157
ko:K04200	hsa:4158
ko:K04202	hsa:4160
ko:K04203	hsa:4161
ko:K04201	hsa:4159
ko:K04204	hsa:4886
ko:K04205	hsa:4887
ko:K04207	hsa:4889
ko:K04212	hsa:23620
ko:K04211	hsa:4923
ko:K04244	hsa:9283
ko:K04008	hsa:966
ko:K04245	hsa:1240
ko:K04247	hsa:2492
