model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Prevotella_sp_C561.mat,928,593,331,228,19,28,6
Staphylococcus_epidermidis_M23864W2grey.mat,1699,1065,633,306,65,119,7
Lactobacillus_casei_ATCC_334.mat,1037,619,437,131,30,50,6
Helicobacter_pylori_GAM42Ai.mat,1297,906,452,401,35,75,7
Helicobacter_pylori_NQ367.mat,1195,790,422,332,36,53,7
Escherichia_coli_O157_H7_str_EC4084.mat,3119,863,454,281,70,98,7
Pseudomonas_stutzeri_DSM_4166.mat,1727,979,497,340,77,121,8
Haemophilus_parainfluenzae_ATCC_33392.mat,1574,921,587,246,41,96,7
Klebsiella_aerogenes_G7.mat,1843,867,438,310,73,93,7
Lactobacillus_iners_LactinV_03V1_b.mat,896,594,354,221,15,21,8
Salmonella_enterica_subsp_enterica_serovar_Javiana_str_CFSAN001992.mat,3418,1219,746,308,94,157,7
Streptococcus_pneumoniae_Hungary19A_6.mat,1090,576,250,273,17,51,5
Yersinia_pseudotuberculosis_PB1.mat,2122,1171,741,293,80,125,8
Listeria_monocytogenes_M7.mat,1706,1021,603,312,112,112,8
Bacillus_cereus_MC67.mat,1978,1177,698,319,88,158,7
Enterococcus_faecalis_ATCC_10100.mat,1580,971,592,269,41,119,8
Bittarella_massiliensis_GD6.mat,915,573,301,248,20,23,4
Paeniclostridium_sordellii_SSCC26591.mat,1077,632,398,202,24,26,5
Escherichia_coli_KTE51.mat,3601,1238,742,291,98,190,8
Bacteroides_caccae_ERR1022396.mat,1467,688,335,301,28,49,5
