MicrobeID,Phylum,Kingdom,Host,Oxygen Requirement
Acinetobacter_baumannii_AB_2007_16_27_01,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_2008_15_34_7,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_2008_15_45,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_2008_15_52,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_2008_15_69,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_2008_15_70,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_2008_15_71,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_2008_23_01_01_7,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_2008_23_07_01_7,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_2009_04_01_7,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_2009_04_02_7,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_515_8,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_908_12,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_908_13,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_909_01_7,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_909_02_7,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_909_05,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_TG19617,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_TG2018,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_TG2022,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_TG2023,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_TG2026,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_TG2028,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_TG2030,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_TG2031,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_TG27335,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_TG27339,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB_TG27343,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB0057,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Ab11111,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB1H8,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB210,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB307_0294,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB31,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Ab33333,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB405E4,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Ab44444,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB4A3,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB5256,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB5711,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AB900,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABIsac_ColiR,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH1,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH11,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH14,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH15,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH16,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH18,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH19,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH22,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH23,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH25,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH26,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH3,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH4,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH5,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ABNIH6,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AC12,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AC30,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ACICU,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ANC_4097,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ATCC_17978,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ATCC_19606,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_AYE,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_BZICU_2,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Canada_BC_5,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Canada_BC1,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_IS_116,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_IS_123,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_IS_143,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_IS_235,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_IS_251,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_IS_58,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_LAC_4,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_MDR_TJ,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_MDR_ZJ06,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_MSP4_16,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Naval_113,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Naval_13,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Naval_17,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Naval_18,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Naval_2,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Naval_21,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Naval_57,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Naval_72,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Naval_78,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Naval_81,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Naval_82,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_Naval_83,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_1362,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_146,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_1669,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_1734,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_190,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_201,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_2061,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_24,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_290,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_329,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_335,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_410,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_527,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_528,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_60,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_601,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_615,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_67,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_70,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_NIPH_80,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC0162,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC032,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC035,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC047,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC065,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC074,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC087,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC098,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC099,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC109,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC110,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC111,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC137,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC143,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC180,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC189,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_OIFC338,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_SDF,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_TCDC_AB0715,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_TYTH_1,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_UMB001,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_UMB003,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_W7282,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_WC_348,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_WC_692,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_WC_A_694,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_WC_A_92,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_WM99c,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ZWS1122,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_baumannii_ZWS1219,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_calcoaceticus_ANC_3680,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_calcoaceticus_ANC_3811,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_calcoaceticus_DSM_30006_CIP_81_8,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_calcoaceticus_NIPH_13,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_calcoaceticus_PHEA_2,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_calcoaceticus_RUH2202,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_calcoaceticus_subsp_anitratus_XM1570,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_calcoaceticus_TG19585,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_calcoaceticus_TG19588,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_calcoaceticus_TG19593,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_guillouiae_CIP_63_46,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_guillouiae_KCTC_23200,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_guillouiae_MSP4_18,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_guillouiae_NIPH_991,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_haemolyticus_ATCC_19194,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_haemolyticus_CIP_64_3,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_haemolyticus_NIPH_261,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_haemolyticus_TG19599,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_haemolyticus_TG21157,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_johnsonii_ANC_3681,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_johnsonii_CIP_64_6,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_johnsonii_SH046,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_junii_CIP_107470,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_junii_CIP_64_5,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_junii_NIPH_182,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_junii_SH205,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_lwoffii_CIP_70_31,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_lwoffii_ERR2221242,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_lwoffii_NCTC_5866,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_lwoffii_NIPH_478,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_lwoffii_NIPH_715,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_lwoffii_SH145,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_lwoffii_TG19636,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_lwoffii_WJ10621,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_nosocomialis_NIPH_2119,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_nosocomialis_WC_487,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_pittii_ANC_3678,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_pittii_ANC_4050,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_pittii_ANC_4052,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_pittii_AP_882,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_pittii_CIP_70_29,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_pittii_D499,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_pittii_IEC338SC,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_pittii_TG6411,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_pittii_WC_136,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_radioresistens_DSM_6976,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_radioresistens_NIPH_2130,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_radioresistens_SH164,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_radioresistens_SK82,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_radioresistens_TG02010,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_radioresistens_WC_A_157,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_sp_ATCC_27244,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_sp_OIFC021,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_sp_RUH2624,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_sp_SH024,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_sp_WC_141,Proteobacteria,Bacteria,Human,Aerobe
Acinetobacter_sp_WC_323,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_L20,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_S8,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_serovar_1_str_4074,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_serovar_10_str_D13039,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_serovar_11_str_56153,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_serovar_12_str_1096,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_serovar_13_str_N273,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_serovar_2_str_4226,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_serovar_2_str_S1536,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_serovar_3_str_JL03,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_serovar_4_str_M62,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_serovar_6_str_Femo,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_serovar_7_str_AP76,Proteobacteria,Bacteria,Human,Aerobe
Actinobacillus_pleuropneumoniae_serovar_9_str_CVJ13261,Proteobacteria,Bacteria,Human,Aerobe
Actinomyces_bowdenii_OH5050,Actinobacteria,Bacteria,Mouse,Facultative anaerobe
Actinomyces_cardiffensis_F0333,Actinobacteria,Bacteria,Human,Aerobe
Actinomyces_europaeus_ACS_120_V_Col10b,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_europaeus_UMB0652_ERR1203664_17957_1_76_1,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_georgiae_DSM_6843,Actinobacteria,Bacteria,Human,Aerobe
Actinomyces_gerencseriae_DSM_6844,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_graevenitzii_C83,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_hongkongensis_HKU8,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_ihuae_DSM_100538,Actinobacteria,Bacteria,Human,
Actinomyces_israelii_DSM_43320,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_johnsonii_F0510,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_johnsonii_F0542,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_massiliensis_4401292,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_massiliensis_F0489,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_meyeri_DSM_20733,Actinobacteria,Bacteria,Human,Aerobe
Actinomyces_naeslundii_ERR2221356,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_naeslundii_str_Howell_279,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_odontolyticus_ATCC_17982,Actinobacteria,Bacteria,Human,Aerobe
Actinomyces_odontolyticus_F0309,Actinobacteria,Bacteria,Human,Aerobe
Actinomyces_oris_K20,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_oris_T14V,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_polynesiensis_DSM_27066,Actinobacteria,Bacteria,Human,
Actinomyces_sp_HPA0247,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_sp_ICM39,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_sp_ICM47,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_sp_ph3,Actinobacteria,Bacteria,Human,
Actinomyces_timonensis_DSM_23838,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_turicensis_ACS_279_V_Col4,Actinobacteria,Bacteria,Human,Aerobe
Actinomyces_urogenitalis_DSM_15434,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_urogenitalis_S6_C4,Actinobacteria,Bacteria,Human,Facultative anaerobe
Actinomyces_viscosus_C505,Actinobacteria,Bacteria,Human,Facultative anaerobe
Acutalibacter_muris_KB18,Firmicutes,Bacteria,Mouse,Anaerobe
Adlercreutzia_equolifaciens_DSM_19450,Actinobacteria,Bacteria,Human,0
Adlercreutzia_equolifaciens_ERR2221192,Actinobacteria,Bacteria,Human,0
Adlercreutzia_muris_DSM_29508,Actinobacteria,Bacteria,Mouse,0
Advenella_mimigardefordensis_DPN7,Proteobacteria,Bacteria,Human,Obligate aerobe
Aerococcus_christensenii_CCUG28831,Firmicutes,Bacteria,Human,Microaerophile
Aerococcus_viridans_ATCC_11563,Firmicutes,Bacteria,Human,Microaerophile
Aerococcus_viridans_LL1,Firmicutes,Bacteria,Human,Microaerophile
Aeromicrobium_massiliense_JC14,Actinobacteria,Bacteria,Human,Aerobe
Aeromonas_caviae_Ae398,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_caviae_FDAARGOS_72,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_caviae_FDAARGOS_75,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_dhakensis_173,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_dhakensis_277,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_dhakensis_SSU,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_hydrophila_116,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_hydrophila_14,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_hydrophila_187,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_hydrophila_259,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_hydrophila_AH10,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_hydrophila_ML09_119,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_hydrophila_RB_AH,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_hydrophila_SNUFPC_A8,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_jandaei_Riv2,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_media_ARB13,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_media_WS,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_veronii_AER39,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_veronii_AER397,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_veronii_AMC34,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_veronii_AMC35,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_veronii_AVNIH1,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_veronii_B565,Proteobacteria,Bacteria,Human,Facultative anaerobe
Aeromonas_veronii_TH0426,Proteobacteria,Bacteria,Human,Facultative anaerobe
