reaction_id,category
DDPGALA,Multiple
G3PD6,Multiple
GMHEPPA,Multiple
S7PI,Multiple
EX_ttdcea_e,Multiple
AGMHE,Multiple
CRNBTCT,Multiple
GMHEPAT,Multiple
IDOND,Multiple
IDOND2,Multiple
GLYCLTDx,Multiple
HPYRRy,Multiple
FCLT,Multiple
KDOPS,Multiple
KDOPP,Multiple
EX_26dap__M_e,Multiple
MCOATA,Multiple
CYNTAH,Multiple
EX_acnam_e,Multiple
EX_amp_e,Multiple
TMAOR1,Multiple
TMAOR2,Multiple
NDPK1,Multiple
TRDR,Multiple
FRUK,Multiple
KG6PDC,Multiple
TDPADGAT,Multiple
X5PL3E,Multiple
DOGULNR,Multiple
EX_fuc__L_e,Multiple
EX_met__D_e,Multiple
EX_tartr__L_e,Multiple
BETALDHx,Multiple
BETALDHy,Multiple
MLTG3,Multiple
EX_taur_e,Multiple
EX_maltpt_e,Multiple
EX_glcur_e,Multiple
DKGLCNR1,Multiple
AACPS2,Multiple
ACPS1,Multiple
EX_nmn_e,Multiple
M1PD,Multiple
G3PD2,Multiple
FCI,Multiple
FCLK,Multiple
FCLPA,Multiple
AACPS3,Multiple
U23GAAT,Multiple
EX_f6p_e,Multiple
AACPS4,Multiple
OP4ENH,Multiple
EX_rmn_e,Multiple
HOPNTAL,Multiple
P5CR,Multiple
CYANST,Multiple
EX_ttdca_e,Multiple
3HPPPNH,Multiple
GMAND,Multiple
PPCSCT,Multiple
HPYRRx,Multiple
DBTS,Multiple
UHGADA,Multiple
AMANK,Multiple
UAGAAT,Multiple
PRPPS,Multiple
H2SO,Multiple
EX_g6p_e,Multiple
BPNT,Multiple
EX_2ddglcn_e,Multiple
PAPSR,Multiple
EX_mmet_e,Multiple
NTRIR2x,Multiple
GPDDA1,Multiple
ASCBPL,Multiple
ACBIPGT,Multiple
ADOCBLS,Multiple
EX_galct__D_e,Multiple
ADOCBIK,Multiple
HPPPNDO,Multiple
MDH3,Multiple
DHCINDO,Multiple
HKNDDH,Multiple
HKNTDH,Multiple
PTA2,Multiple
MDH2,Multiple
GPDDA5,Multiple
PPBNGS,Multiple
SULR,Multiple
MANPGH,Multiple
AMANAPEr,Multiple
EX_3hcinnm_e,Multiple
EX_acac_e,Multiple
MAN1PT2,Multiple
EX_acmana_e,Multiple
MI1PP,Multiple
EX_galur_e,Multiple
PPAKr,Multiple
TAUDO,Multiple
DM_amob_c,Multiple
MOAT2,Multiple
ME2,Multiple
ACOATA,Multiple
EX_but_e,Multiple
MLTP3,Multiple
EX_ocdca_e,Multiple
EX_cbl1_e,Multiple
SPODM,Multiple
ACNML,Multiple
TMK,Multiple
CAT,Multiple
EX_nac_e,Multiple
UDPGD,Multiple
GLCRD,Multiple
PPPNDO,Multiple
26DAHtex,Multiple
HCINNMtex,Multiple
HPPPNtex,Multiple
TDPAGTA,Multiple
UACMAMO,Multiple
ACMANAtex,Multiple
ACMUMtex,Multiple
ADK3,Multiple
BSORy,Multiple
DMSOR2,Multiple
ADSK,Multiple
SUCCt2_2pp,Multiple
SUCFUMtpp,Multiple
ACMAMUT,Multiple
SSALy,Multiple
SUCptspp,Multiple
SULabcpp,Multiple
TSULabcpp,Multiple
TARTRt7pp,Multiple
EX_dad_2_e,Multiple
EX_ser__D_e,Multiple
DDGALK,Multiple
EX_gam6p_e,Multiple
AB6PGH,Multiple
EX_ocdcea_e,Multiple
EX_cynt_e,Multiple
EX_galctn__D_e,Multiple
AHGDx,Multiple
MLTP2,Multiple
TAURabcpp,Multiple
THMDt2pp_copy1,Multiple
3HCINNMH,Multiple
BSORx,Multiple
PACCOAL,Multiple
NMNt7pp,Multiple
EX_so3_e,Multiple
Kt2pp,Multiple
ACGAMT,Multiple
XYLt2pp,Multiple
EX_ascb__L_e,Multiple
GTPtex,Multiple
EX_ala_B_e,Multiple
EX_minohp_e,Multiple
EX_ppt_e,Multiple
AADDGT,Multiple
SPODMpp,Multiple
EX_lyx__L_e,Multiple
EX_acmum_e,Multiple
EX_dca_e,Multiple
EX_all__D_e,Multiple
NO3R1bpp,Multiple
EX_octa_e,Multiple
PHYTSpp,Multiple
EX_gbbtn_e,Multiple
PPTHpp,Multiple
NO3R2pp,Multiple
EX_xylu__L_e,Multiple
EX_gdp_e,Multiple
EX_gtp_e,Multiple
NTP3pp,Multiple
NO3R2bpp,Multiple
THMabcpp,Multiple
THMDt2pp_copy2,Multiple
TREptspp,Multiple
TMAOR1pp,Multiple
TMAOR2pp,Multiple
EX_tma_e,Multiple
URIt2pp_copy1,Multiple
URIt2pp_copy2,Multiple
DDGLCNtex,Multiple
XYLabcpp,Multiple
GMHEPK,Multiple
XYLUt2pp,Multiple
GALURtex,Multiple
FDMO,Multiple
FEOXAMabcpp,Multiple
EX_fruur_e,Multiple
CBL1abcpp,Multiple
EX_malttr_e,Multiple
ACACt2pp,Multiple
ACGAptspp,Multiple
ACMANAptspp,Multiple
ACNAMt2pp,Multiple
GALCTtex,Multiple
GALCTNtex,Multiple
GALTtex,Multiple
EX_cbi_e,Multiple
EX_ch4_e,Multiple
EX_adocbl_e,Multiple
FECRMabcpp,Multiple
GAMtex,Multiple
GBBTNtex,Multiple
ARBt2rpp,Multiple
DAPabcpp,Multiple
ACt4pp,Multiple
DMSOR1pp,Multiple
ADNt2pp_copy1,Multiple
ADNt2pp_copy2,Multiple
ALLabcpp,Multiple
ARBabcpp,Multiple
ASCBptspp,Multiple
ASPt2pp,Multiple
ASPt2_2pp,Multiple
HYD2pp,Multiple
NACtpp,Multiple
ASPt2_3pp,Multiple
INSTtex,Multiple
CPGNtonex,Multiple
GLCRtex,Multiple
GLCURtex,Multiple
GLNtex,Multiple
EX_ppa_e,Multiple
OCTAtex,Multiple
NTD8pp,Multiple
FRULYStex,Multiple
MALTtexi,Multiple
CRNt7pp,Multiple
GLCtex_copy1,Multiple
EX_no_e,Multiple
CHLabcpp,Multiple
DGSNt2pp,Multiple
DINSt2pp,Multiple
DURIt2pp,Multiple
FRUptspp,Multiple
FUCtpp,Multiple
GALCTt2rpp,Multiple
ABUTt2pp,Multiple
FUMt2_2pp,Multiple
FUMt2_3pp,Multiple
CSNt2pp,Multiple
CYNTt2pp,Multiple
CYSabcpp,Multiple
SBTptspp,Multiple
TREHpp,Multiple
CYTBDpp,Multiple
CYTDt2pp_copy1,Multiple
CYTDt2pp_copy2,Multiple
DADNt2pp,Multiple
DCYTt2pp,Multiple
CYTBD2pp,Multiple
ACt2rpp,Multiple
DDGLCNt2rpp,Multiple
RMNtex,Multiple
EX_meoh_e,Multiple
MALTTRtexi,Multiple
MALTTTRtexi,Multiple
MALTPTtexi,Multiple
ASPO3,Multiple
ASPO4,Multiple
EX_3amp_e,Multiple
EX_3gmp_e,Multiple
EX_3ump_e,Multiple
ASPO6,Multiple
EX_eca4colipa_e,Multiple
FDMO3,Multiple
LYXtex,Multiple
MANtex,Multiple
MAN6Ptex,Multiple
FDMO4,Multiple
CYSabc2pp,Multiple
BUTSO3abcpp,Multiple
ETHSO3abcpp,Multiple
DMSOtex,Multiple
DURItex,Multiple
EX_mal__D_e,Multiple
FRUtex,Multiple
FUCtex,Multiple
EX_sel_e,Multiple
EX_hg2_e,Multiple
O16GLCT1,Multiple
O16AP2pp,Multiple
O16AP3pp,Multiple
O16A4Lpp,Multiple
MALDDH,Multiple
NMNtex,Multiple
NO2tex,Multiple
TRSARr,Multiple
FEOXAMUtex,Multiple
ARBTNtpp,Multiple
ARBTNtex,Multiple
LYXI,Multiple
BUTt2rpp,Multiple
23CAMPtex,Multiple
23CCMPtex,Multiple
23CUMPtex,Multiple
23CGMPtex,Multiple
3AMPtex,Multiple
3CMPtex,Multiple
GDPtex,Multiple
TMAtex,Multiple
EX_pheme_e,Multiple
TMAOtex,Multiple
TREtex,Multiple
L_LACD3,Multiple
FE3HOXUtpp,Multiple
FEOXAMUtpp,Multiple
FECRMUtpp,Multiple
FE3HOXR2,Multiple
L_LACD2,Multiple
PNTOtex,Multiple
FRULYSK,Multiple
FDMO6,Multiple
TSULtex,Multiple
SULFACabcpp,Multiple
ETHSO3tex,Multiple
BUTSO3tex,Multiple
LIPOtex,Multiple
CYANSTpp,Multiple
MCPST,Multiple
XYLtex,Multiple
PPPNtex,Multiple
PHEMEabcpp,Multiple
METSOX1abcpp,Multiple
PPTtex,Multiple
GALBDtex,Multiple
LIPAHT2ex,Multiple
GLCTR1,Multiple
LIPAabcpp,Multiple
LIPAHTex,Multiple
LIPACabcpp,Multiple
ECAP1pp,Multiple
UDCPDPpp,Multiple
EX_mso3_e,Multiple
EX_23camp_e,Multiple
EX_23cgmp_e,Multiple
EX_23cump_e,Multiple
ECAP2pp,Multiple
ECA4OALpp,Multiple
FE3HOXR3,Multiple
FEENTERR1,Multiple
NODOy,Multiple
GALM2pp,Multiple
CU1abcpp,Multiple
HG2abcpp,Multiple
FEENTERR3,Multiple
SULFACtex,Multiple
EX_sulfac_e,Multiple
EX_butso3_e,Multiple
GLCTR3,Multiple
HEPT4,Multiple
EX_ethso3_e,Multiple
DSERtex,Multiple
LA4NTpp,Multiple
NODOx,Multiple
NOtex,Multiple
NOtpp,Multiple
NHFRBO,Multiple
N2Otpp,Multiple
N2Otex,Multiple
CRNt8pp,Multiple
CRNt2rpp,Multiple
CRNDt2rpp,Multiple
CTBTt2rpp,Multiple
42A12BOOXpp,Multiple
TYROXDApp,Multiple
PEAMNtex,Multiple
LIPOt2pp,Multiple
RNDR3b,Multiple
RNDR4b,Multiple
ACGAL1Ptex,Multiple
ACGALtex,Multiple
GLCUR1Ptex,Multiple
UDPGLCURtex,Multiple
UDPGALPpp,Multiple
UACGAMPpp,Multiple
UACGALPpp,Multiple
UGLCURPpp,Multiple
ISETACabcpp,Multiple
ISETACtex,Multiple
GUR1PPpp,Multiple
UDPGtex,Multiple
ACGAL1PPpp,Multiple
UDPGALtex,Multiple
ACGAM1Ptex,Multiple
UACGAMtex,Multiple
UDPACGALtex,Multiple
CBLAT,Multiple
NTRIR4pp,Multiple
NTRIR3pp,Multiple
INOSTt4pp,Multiple
PHEMEtiex,Multiple
CYANtex,Multiple
SO3tex,Multiple
TCYNTtex,Multiple
METSOX2abcpp,Multiple
METSOX1tex,Multiple
METSOX2tex,Multiple
3UMPtex,Multiple
MSO3abcpp,Multiple
MSO3tex,Multiple
FECRMR1,Multiple
FECRMR2,Multiple
3GMPtex,Multiple
FALDtpp,Multiple
EX_tym_e,Multiple
SO4tex,Multiple
FECRMexs,Multiple
ARBTNR1,Multiple
ARBTNR2,Multiple
METSOXR1,Multiple
METSOXR2,Multiple
DAPAL,Multiple
EX_imp_e,Multiple
DOPAtex,Multiple
4HOXPACDtex,Multiple
ARBTNR3,Multiple
ARBTNexs,Multiple
FEOXAMexs,Multiple
GPDDA1pp,Multiple
GPDDA5pp,Multiple
G3PStex,Multiple
FEOXAMR1,Multiple
FEOXAMR2,Multiple
FEOXAMR3,Multiple
PTHRpp,Multiple
FEENTERR2,Multiple
FE3HOXR1,Multiple
SUCRtex,Multiple
FE3HOXexs,Multiple
FECRMR3,Multiple
FDMO2,Multiple
ARABDI,Multiple
AGt3,Multiple
CD2t3pp,Multiple
ZNabcpp,Multiple
SKMt2pp,Multiple
FE2t2pp,Multiple
GLYC2Ptex,Multiple
PSERtex,Multiple
TARTRtex,Multiple
R5Ptex,Multiple
THRPtex,Multiple
TYRPtex,Multiple
R5PPpp,Multiple
PSP_Lpp,Multiple
TYRPpp,Multiple
R1PK,Multiple
PAPSR2,Multiple
GRXR,Multiple
RNDR1b,Multiple
R15BPK,Multiple
RNDR2b,Multiple
TAURtex,Multiple
MALt2_2pp,Multiple
CPGNR1,Multiple
CPGNR2,Multiple
CPGNR3,Multiple
CPGNUtpp,Multiple
CPGNUtex,Multiple
MALt2_3pp,Multiple
MALTabcpp,Multiple
MALTHXabcpp,Multiple
MALTPTabcpp,Multiple
AAMYL,Multiple
AAMYLpp,Multiple
MALTTRabcpp,Multiple
MALTTTRabcpp,Multiple
MAN6Pt6_2pp,Multiple
FACOAL80t2pp,Multiple
CPGNabcpp,Multiple
CPGNexs,Multiple
MANGLYCptspp,Multiple
MELIBt2pp,Multiple
CBIuabcpp,Multiple
ACGAtex,Multiple
DDCAtexi,Multiple
TTDCAtexi,Multiple
HDCAtexi,Multiple
EX_23dappa_e,Multiple
RMNtpp,Multiple
23PDE2pp,Multiple
23PDE4pp,Multiple
23PDE9pp,Multiple
METDtex,Multiple
SUCCt2_3pp,Multiple
MNLptspp,Multiple
NAt3_1p5pp,Multiple
SARCOX,Multiple
MN6PP,Multiple
NAt3_2pp,Multiple
3KGK,Multiple
NMNPtpp,Multiple
NO2t2rpp,Multiple
NO3t7pp,Multiple
PNTOt4pp,Multiple
FRULYSDG,Multiple
METDabcpp,Multiple
GDPMNH,Multiple
INDOLEt2pp,Multiple
INSt2pp,Multiple
PROt2rpp,Multiple
MNLtex,Multiple
PROt4pp,Multiple
LYXt2pp,Multiple
OCDCAtexi,Multiple
OCDCEAtexi,Multiple
GLUNpp,Multiple
G6Ptex,Multiple
TUNGSabcpp,Multiple
MOBDabcpp,Multiple
MOBDtex,Multiple
NI2uabcpp,Multiple
FECRMtonex,Multiple
ARBTNtonex,Multiple
ADOCBLabcpp,Multiple
NTD10pp,Multiple
NTD1pp,Multiple
EX_chtbs_e,Multiple
EX_gmp_e,Multiple
NTD2pp,Multiple
NACtex,Multiple
NTD3pp,Multiple
NTD4pp,Multiple
NTD5pp,Multiple
EX_h2o2_e,Multiple
EX_ump_e,Multiple
EX_pydam_e,Multiple
CRNabcpp,Multiple
CRNDabcpp,Multiple
NTD6pp,Multiple
NTD7pp,Multiple
CTBTabcpp,Multiple
NTD9pp,Multiple
PEAMNOpp,Multiple
GAL1PPpp,Multiple
H2O2tex,Multiple
ALLPI,Multiple
ALLK,Multiple
ALLULPE,Multiple
NADPHQR4,Multiple
GLBRAN2,Multiple
ASR,Multiple
ASO3tex,Multiple
BALAtex,Multiple
MANGLYCtex,Multiple
EX_frulys_e,Multiple
AMPtex,Multiple
METOX1s,Multiple
METOX2s,Multiple
FRUURt2rpp,Multiple
FRUURtex,Multiple
ASCBtex,Multiple
FACOAL100t2pp,Multiple
RIBabcpp,Multiple
ECAtpp,Multiple
O16AT,Multiple
O16GALFT,Multiple
O16GLCT2,Multiple
O16AUNDtpp,Multiple
O16AP1pp,Multiple
GPDDA3pp,Multiple
EX_enlipa_e,Multiple
BUTtex,Multiple
EX_hacolipa_e,Multiple
FE3HOXtonex,Multiple
CU2abcpp,Multiple
COBALT2abcpp,Multiple
NI2abcpp,Multiple
HCYSMT2,Multiple
FALDH2,Multiple
GLYBabcpp,Multiple
MMETtex,Multiple
MMETt2pp,Multiple
GLYCLTt4pp,Multiple
GLNabcpp,Multiple
GLUABUTt7pp,Multiple
HCINNMt2rpp,Multiple
CBIAT,Multiple
LCTSt3ipp,Multiple
ARBt3ipp,Multiple
14GLUCANabcpp,Multiple
14GLUCANtexi,Multiple
DINStex,Multiple
FALGTHLs,Multiple
NTD12pp,Multiple
DIMPtex,Multiple
EX_hdca_e,Multiple
EX_glcr_e,Multiple
HMBS,Multiple
3NTD7pp,Multiple
DMStex,Multiple
3NTD4pp,Multiple
3NTD2pp,Multiple
3NTD9pp,Multiple
RMK,Multiple
HYPOE,Multiple
23PDE7pp,Multiple
GALTptspp,Multiple
GALURt2rpp,Multiple
ZN2abcpp,Multiple
CSNtex,Multiple
GLYCLTDy,Multiple
GLCRt2rpp,Multiple
PPPNt2rpp,Multiple
GLCURt2rpp,Multiple
ACMUMptspp,Multiple
CYNTtex,Multiple
HG2tex,Multiple
ACONMT,Multiple
ATPM,Multiple
EX_mnl_e,Multiple
EX_malt_e,Multiple
DADNtex,Multiple
EX_pnto__R_e,Multiple
SELNPS,Multiple
MTRPOX,Multiple
GLYCLTt2rpp,Multiple
HPPPNt2rpp,Multiple
RNDR2,Multiple
DCAtex,Multiple
EX_no2_e,Multiple
DCYTtex,Multiple
EX_gam_e,Multiple
ACACtex,Multiple
ACNAMtex,Multiple
ARBTNabcpp,Multiple
EX_inost_e,Multiple
EX_mobd_e,Multiple
NNDMBRT,Multiple
DGSNtex,Multiple
ASO3t8pp,Multiple
EX_so4_e,Multiple
PDH,Multiple
DMSOR2pp,Multiple
EX_ddca_e,Multiple
NO3R1pp,Multiple
CELBpts,Multiple
EX_r5p_e,Multiple
EX_glyc2p_e,Multiple
EX_halipa_e,Multiple
AACPS5,Multiple
MANptspp,Multiple
EX_cmp_e,Multiple
GALCTD,Multiple
EX_malthx_e,Multiple
MLTG4,Multiple
UDPGDC,Multiple
AMAOTr,Multiple
EX_csn_e,Multiple
TYMtex,Multiple
EX_dmso_e,Multiple
CMPtex,Multiple
DUMPtex,Multiple
XMPtex,Multiple
EX_pppn_e,Multiple
MALTptspp,Multiple
UDPKAAT,Multiple
ULA4NFT,Multiple
EX_acgam1p_e,Multiple
NTD11pp,Multiple
EX_galt_e,Multiple
DKGLCNR2x,Multiple
UPLA4FNT,Multiple
UPLA4FNF,Multiple
ULA4Ntppi,Multiple
HEPT1,Multiple
FALDtex,Multiple
EX_glcur1p_e,Multiple
ALR2,Multiple
MLTP1,Multiple
HEPT2,Multiple
FECRMUtex,Multiple
EX_thrp_e,Multiple
CLtex,Multiple
CYSDtex,Multiple
CYSDabcpp,Multiple
EX_fald_e,Multiple
EX_pydxn_e,Multiple
EX_acgal_e,Multiple
EX_so2_e,Multiple
EX_dms_e,Multiple
GMPtex,Multiple
IMPtex,Multiple
G3PItex,Multiple
CD2abcpp,Multiple
G3PCtex,Multiple
MOAT3C,Multiple
UMPtex,Multiple
G1Ptex,Multiple
CUt3,Multiple
ZN2t3pp,Multiple
SKMtex,Multiple
MNt2pp,Multiple
RHAT1,Multiple
GALT1,Multiple
GAL1Ptex,Multiple
GLCTR2,Multiple
G2PPpp,Multiple
UDPGPpp,Multiple
EX_acgal1p_e,Multiple
EX_cyan_e,Multiple
EX_tyrp_e,Multiple
O2Stex,Multiple
HEPK1,Multiple
HEPT3,Multiple
HEPK2,Multiple
ALDD3y,Multiple
EX_uacgam_e,Multiple
Kt3pp,Multiple
EX_udpacgal_e,Multiple
EX_udpg_e,Multiple
EX_udpgal_e,Multiple
EX_udpglcur_e,Multiple
EX_14glucan_e,Multiple
EX_pser__L_e,Multiple
EX_xmp_e,Multiple
EX_damp_e,Multiple
CYSSADS,Multiple
EX_dimp_e,Multiple
CPPPGO2,Multiple
EX_isetac_e,Multiple
EX_aso3_e,Multiple
EX_tcynt_e,Multiple
EX_fe3dhbzs_e,Multiple
PPPGO,Multiple
SO2tex,Multiple
SO2tpp,Multiple
LDH_D2,Multiple
EX_g3pc_e,Multiple
EX_g3pi_e,Multiple
SHCHF,Multiple
SUCOAS,Multiple
CYSDDS,Multiple
EX_g3ps_e,Multiple
EX_peamn_e,Multiple
EX_34dhpac_e,Multiple
NTP1,Multiple
DAMPtex,Multiple
DCMPtex,Multiple
DGMPtex,Multiple
DTMPtex,Multiple
GDMANE,Multiple
LPLIPAL2ATG120,Multiple
AACPS8,Multiple
AACPS9,Multiple
AACPS6,Multiple
AACPS7,Multiple
G3PIabcpp,Multiple
G1PPpp,Multiple
GALCTND,Multiple
G3PSabcpp,Multiple
QMO2,Multiple
QMO3,Multiple
LDH_D,Multiple
YUMPS,Multiple
UPP3MT,Multiple
KAS15,Multiple
T2DECAI,Multiple
3OAS161,Multiple
EAR141y,Multiple
EAR161x,Multiple
LPLIPAL2ATG140,Multiple
LPLIPAL2ATG141,Multiple
LPLIPAL2ATG160,Multiple
LPLIPAL2ATG180,Multiple
LPLIPAL2ATG161,Multiple
LPLIPAL2ATG181,Multiple
FACOAE100,Multiple
FACOAE80,Multiple
NO3tex,Multiple
3OAS141,Multiple
3OAR121,Multiple
ALPATE160pp,Multiple
TTDCEAtexi,Multiple
HDCEAtexi,Multiple
ALPATG160pp,Multiple
LPLIPAL2ATE120,Multiple
LPLIPAL2ATE140,Multiple
EX_orot_e,Multiple
LPLIPAL2ATE160,Multiple
LPLIPAL2ATE180,Multiple
LPLIPAL2ATE141,Multiple
LPLIPAL2ATE161,Multiple
LPLIPAL2ATE181,Multiple
G3PCabcpp,Multiple
AMPTASEPG,Multiple
PROGLYabcpp,Multiple
GTHRDabcpp,Multiple
RIBtex,Multiple
THMtex,Multiple
XYLUtex,Multiple
EX_manglyc_e,Multiple
ALLtex,Multiple
FRUpts2pp,Multiple
EX_metsox_R__L_e,Multiple
34dhpactex,Multiple
G6Pt6_2pp,Multiple
MALTHXtexi,Multiple
HPYRI,Multiple
FE3HOXUtex,Multiple
HYD1pp,Multiple
EX_cl_e,Multiple
FE3DHBZStonex,Multiple
23DAPPAtex,Multiple
ECAP3pp,Multiple
FEOXAMtonex,Multiple
ACGAM1PPpp,Multiple
EX_dgmp_e,Multiple
GAMptspp,Multiple
GSNt2pp,Multiple
EX_4hoxpacd_e,Multiple
EX_3hpppn_e,Multiple
EX_man6p_e,Multiple
SBTtex,Multiple
EX_tsul_e,Multiple
THIORDXi,Multiple
EX_n2o_e,Multiple
PPPGO3,Multiple
PDX5POi,Multiple
PDX5PO2,Multiple
GUI2,Multiple
HG2t3pp,Multiple
CYTBO3_4pp,Multiple
EX_maltttr_e,Multiple
MLTG5,Multiple
GPDDA3,Multiple
EAR141x,Multiple
EAR181x,Multiple
EAR181y,Multiple
G3PAT141,Multiple
2DOXG6PP,Multiple
UDCPPtppi,Multiple
G3PAT181,Multiple
MELIBt3ipp,Multiple
EX_dtmp_e,Multiple
EX_lipoate_e,Multiple
EX_pydx_e,Multiple
EX_g1p_e,Multiple
GLCtex_copy2,Multiple
NAt3pp,Multiple
MINOHPtexi,Multiple
SFGTHi,Multiple
PYDAMK,Multiple
K2L4Aabcpp,Multiple
3OAR120,Multiple
3HAD80,Multiple
3HAD120,Multiple
DSBCGT,Multiple
DSBGGT,Multiple
EAR180x,Multiple
SO4t2pp,Multiple
EAR180y,Multiple
AGPAT120,Multiple
COLIPAabcpp,Multiple
ACONIs,Multiple
F6Pt6_2pp,Multiple
PPALtpp,Multiple
GAM6Pt6_2pp,Multiple
FE3HOXabcpp,Multiple
PPALtex,Multiple
CUtex,Multiple
3HAD161,Multiple
CU1Opp,Multiple
SUCDi,Multiple
EAR80y,Multiple
EAR120y,Multiple
3OAR181,Multiple
3HAD121,Multiple
EAR121y,Multiple
PROGLYtex,Multiple
EX_progly_e,Multiple
F6Ptex,Multiple
EAR140x,Multiple
EAR40y,Multiple
GAMAN6Ptex,Multiple
EX_gal_bD_e,Multiple
3OAS181,Multiple
EAR161y,Multiple
G3PAT140,Multiple
G3PAT160,Multiple
G3PAT161,Multiple
AGPAT160,Multiple
AGPAT140,Multiple
3OAS140,Multiple
3OAR140,Multiple
EAR160y,Multiple
3OAR160,Multiple
3HAD181,Multiple
EAR100y,Multiple
3OAR141,Multiple
3OAR161,Multiple
3HAD141,Multiple
EAR121x,Multiple
EX_dump_e,Multiple
G3PAT180,Multiple
EX_o2s_e,Multiple
EX_gal1p_e,Multiple
EX_dcmp_e,Multiple
EX_23ccmp_e,Multiple
PETNT161pp,Multiple
AGPAT181,Multiple
EX_3cmp_e,Multiple
3HAD40,Multiple
3OAS60,Multiple
3OAS160,Multiple
GTHOXtex,Multiple
DSBAO1,Multiple
DSBAO2,Multiple
DSBDR,Multiple
TDSR1,Multiple
3OAR60,Multiple
3OAR80,Multiple
EAR100x,Multiple
EAR120x,Multiple
EAR160x,Multiple
EAR140y,Multiple
3OAS121,Multiple
3OAS80,Multiple
3OAS100,Multiple
3OAS120,Multiple
3OAR40,Multiple
3OAR100,Multiple
3HAD60,Multiple
3HAD100,Multiple
3HAD140,Multiple
3HAD160,Multiple
EX_urate_e,Multiple
AGPAT180,Multiple
AGPAT141,Multiple
EX_skm_e,Multiple
AGPAT161,Multiple
EAR40x,Multiple
EAR60y,Multiple
EX_ag_e,Multiple
EAR60x,Multiple
EX_cys__D_e,Multiple
EAR80x,Multiple
3OAR180,Multiple
G3PAT120,Multiple
3OAS180,Multiple
3HAD180,Multiple
TDSR2,Multiple
GTHRDabc2pp,Multiple
EX_cu_e,Multiple
ZN2tpp,Multiple
NI2tpp,Multiple
COBALT2t3pp,Multiple
23DAPPAt2pp,Multiple
NADHPO,Multiple
EX_dopa_e,Multiple
CAt6pp,Multiple
NADH18pp,Multiple
GLYBt2pp,Multiple
GALCTNt2pp,Multiple
GALCTNLtex,Multiple
EX_galctn__L_e,Multiple
DSERt2pp,Multiple
LYSt3pp,Multiple
EX_tungs_e,Multiple
CA2t3pp,Multiple
FA161ACPHi,Multiple
BGLA1,Multiple
FA141ACPHi,Multiple
THRt2pp,Multiple
FA160ACPHi,Multiple
MALDtex,Multiple
OROTtex,Multiple
GDPMNP,Multiple
FA120ACPHi,Multiple
FA80ACPHi,Multiple
FA140ACPHi,Multiple
PPAt4pp,Multiple
OROTt2_2pp,Multiple
MALDt2_2pp,Multiple
FA100ACPHi,Multiple
CHLt2pp,Multiple
FRULYSE,Multiple
FRULYSt2pp,Multiple
EX_psclys_e,Multiple
TUNGStex,Multiple
PSCLYSt2pp,Multiple
LYSt2pp,Multiple
COBALT2tpp,Multiple
BALAt2pp,Multiple
