reaction_id,reaction_equation,diphosphate_test,loop_test,dilution_test,dead_end_test,pathway,duplicate_test,kegg_group
PPA,H2O H2O [c] + Diphosphate [c] --> H+ [c] + 2.0 Phosphate [c],ok,ok,ok,ok,0,ok,Energy
PPA,H2O H2O [c] + Diphosphate [c] --> H+ [c] + 2.0 Phosphate [c],ok,ok,ok,ok,0,ok,Nucleotides
PPA,H2O H2O [c] + Diphosphate [c] --> H+ [c] + 2.0 Phosphate [c],ok,ok,ok,ok,0,ok,Cofactors
APRAUR,5-Amino-6-(5'-phosphoribosylamino)uracil [c] + H+ [c] + Nicotinamide adenine dinucleotide phosphate - reduced [c] --> 5-Amino-6-(5'-phosphoribitylamino)uracil [c] + Nicotinamide adenine dinucleotide phosphate [c],ok,ok,ok,ok,0,ok,Cofactors
TRPAS2,H2O H2O [c] + L-Tryptophan [c] <=> Indole [c] + Ammonium [c] + Pyruvate [c],ok,ok,ok,ok,0,ok,Amino acids
PPCK,ATP C10H12N5O13P3 [c] + Oxaloacetate [c] --> ADP C10H12N5O10P2 [c] + CO2 CO2 [c] + Phosphoenolpyruvate [c],ok,ok,ok,ok,0,ok,Carbohydrates
PPCK,ATP C10H12N5O13P3 [c] + Oxaloacetate [c] --> ADP C10H12N5O10P2 [c] + CO2 CO2 [c] + Phosphoenolpyruvate [c],ok,ok,ok,ok,0,ok,Energy
ME1,L-Malate [c] + Nicotinamide adenine dinucleotide [c] --> CO2 CO2 [c] + Nicotinamide adenine dinucleotide - reduced [c] + Pyruvate [c],ok,ok,ok,ok,0,bad,Carbohydrates
DB4PS,"D-Ribulose 5-phosphate [c] --> 3,4-dihydroxy-2-butanone 4-phosphate [c] + Formate [c] + H+ [c]",ok,ok,ok,ok,0,ok,Cofactors
ALAR,L-Alanine [c] <=> D-Alanine [c],ok,ok,ok,ok,0,ok,Other amino acids
RBFK,ATP C10H12N5O13P3 [c] + Riboflavin C17H20N4O6 [c] --> ADP C10H12N5O10P2 [c] + FMN C17H19N4O9P [c] + H+ [c],ok,ok,ok,ok,0,ok,Cofactors
ALATA_L,2-Oxoglutarate [c] + L-Alanine [c] <=> L-Glutamate [c] + Pyruvate [c],ok,bad,ok,ok,0,ok,Amino acids
XYLK,ATP C10H12N5O13P3 [c] + D-Xylulose [c] --> ADP C10H12N5O10P2 [c] + H+ [c] + D-Xylulose 5-phosphate [c],ok,ok,ok,bad,34,ok,Carbohydrates
RBK,ATP C10H12N5O13P3 [c] + D-Ribose [c] --> ADP C10H12N5O10P2 [c] + H+ [c] + Alpha-D-Ribose 5-phosphate [c],ok,ok,ok,ok,0,ok,Carbohydrates
GLYK,ATP C10H12N5O13P3 [c] + Glycerol [c] --> ADP C10H12N5O10P2 [c] + Glycerol 3-phosphate [c] + H+ [c],ok,ok,ok,ok,0,ok,Lipids
PPM,Alpha-D-Ribose 1-phosphate [c] <=> Alpha-D-Ribose 5-phosphate [c],ok,bad,ok,ok,0,ok,Carbohydrates
PPM,Alpha-D-Ribose 1-phosphate [c] <=> Alpha-D-Ribose 5-phosphate [c],ok,bad,ok,ok,0,ok,Nucleotides
ASPTA,2-Oxoglutarate [c] + L-Aspartate [c] <=> L-Glutamate [c] + Oxaloacetate [c],ok,ok,ok,ok,0,ok,Amino acids
ASPTA,2-Oxoglutarate [c] + L-Aspartate [c] <=> L-Glutamate [c] + Oxaloacetate [c],ok,ok,ok,ok,0,ok,Secondary metabolites
ACP1_FMN,FMN C17H19N4O9P [c] + H2O H2O [c] --> Phosphate [c] + Riboflavin C17H20N4O6 [c],ok,ok,ok,ok,0,ok,Cofactors
RBFSb,"2.0 6,7-Dimethyl-8-(1-D-ribityl)lumazine [c] --> 4-(1-D-Ribitylamino)-5-aminouracil [c] + Riboflavin C17H20N4O6 [c]",ok,ok,ok,ok,0,ok,Cofactors
NDP3,GDP C10H12N5O11P2 [c] + H2O H2O [c] --> GMP C10H12N5O8P [c] + H+ [c] + Phosphate [c],ok,ok,ok,ok,0,ok,Cofactors
CDPPH,CDP C9H12N3O11P2 [c] + H2O H2O [c] --> CMP C9H12N3O8P [c] + H+ [c] + Phosphate [c],ok,ok,ok,ok,0,ok,Not in KEGG
NDP7,H2O H2O [c] + UDP C9H11N2O12P2 [c] --> H+ [c] + Phosphate [c] + UMP C9H11N2O9P [c],ok,ok,ok,ok,0,ok,Not in KEGG
FBP,"D-Fructose 1,6-bisphosphate [c] + H2O H2O [c] --> D-Fructose 6-phosphate [c] + Phosphate [c]",ok,ok,ok,ok,0,ok,Carbohydrates
FBP,"D-Fructose 1,6-bisphosphate [c] + H2O H2O [c] --> D-Fructose 6-phosphate [c] + Phosphate [c]",ok,ok,ok,ok,0,ok,Energy
EX_pi_e,Phosphate [e] <=>,ok,ok,ok,ok,0,ok,Not in KEGG
GLGC,ATP C10H12N5O13P3 [c] + D-Glucose 1-phosphate [c] + H+ [c] --> ADPglucose C16H23N5O15P2 [c] + Diphosphate [c],ok,ok,ok,ok,0,ok,Carbohydrates
ALATA_D2,D-Alanine [c] + Pyridoxal 5'-phosphate [c] --> Pyridoxamine 5'-phosphate [c] + Pyruvate [c],ok,ok,bad,ok,2,ok,Amino acids
ALATA_D2,D-Alanine [c] + Pyridoxal 5'-phosphate [c] --> Pyridoxamine 5'-phosphate [c] + Pyruvate [c],ok,ok,bad,ok,2,ok,Carbohydrates
ALATA_D2,D-Alanine [c] + Pyridoxal 5'-phosphate [c] --> Pyridoxamine 5'-phosphate [c] + Pyruvate [c],ok,ok,bad,ok,2,ok,Energy
ALATA_D2,D-Alanine [c] + Pyridoxal 5'-phosphate [c] --> Pyridoxamine 5'-phosphate [c] + Pyruvate [c],ok,ok,bad,ok,2,ok,Other amino acids
ALATA_D2,D-Alanine [c] + Pyridoxal 5'-phosphate [c] --> Pyridoxamine 5'-phosphate [c] + Pyruvate [c],ok,ok,bad,ok,2,ok,Cofactors
PYK,ADP C10H12N5O10P2 [c] + H+ [c] + Phosphoenolpyruvate [c] --> ATP C10H12N5O13P3 [c] + Pyruvate [c],ok,ok,ok,ok,0,ok,Carbohydrates
SHCHD2,Dihydrosirohydrochlorin [c] + Nicotinamide adenine dinucleotide [c] --> H+ [c] + Nicotinamide adenine dinucleotide - reduced [c] + Sirohydrochlorin [c],ok,ok,bad,ok,2,ok,Cofactors
EX_co2_e,CO2 CO2 [e] <=>,ok,ok,ok,ok,0,ok,Not in KEGG
A5PISO,D-Ribulose 5-phosphate [c] <=> D-Arabinose 5-phosphate [c],ok,ok,bad,ok,2,ok,Glycans
PMDPHT,5-Amino-6-(5'-phosphoribitylamino)uracil [c] + H2O H2O [c] --> 4-(1-D-Ribitylamino)-5-aminouracil [c] + Phosphate [c],ok,ok,ok,ok,0,ok,Cofactors
CPPPGO,Coproporphyrinogen III [c] + 2.0 H+ [c] + O2 O2 [c] --> 2.0 CO2 CO2 [c] + 2.0 H2O H2O [c] + Protoporphyrinogen IX [c],ok,ok,bad,ok,2,ok,Cofactors
EX_met__L_e,L-Methionine [e] -->,ok,ok,ok,ok,0,ok,Not in KEGG
GTHOr,Oxidized glutathione [c] + H+ [c] + Nicotinamide adenine dinucleotide phosphate - reduced [c] <=> 2.0 Reduced glutathione [c] + Nicotinamide adenine dinucleotide phosphate [c],ok,ok,ok,ok,0,ok,Other amino acids
ILETA,2-Oxoglutarate [c] + L-Isoleucine [c] <=> (S)-3-Methyl-2-oxopentanoate [c] + L-Glutamate [c],ok,ok,ok,ok,0,ok,Amino acids
ILETA,2-Oxoglutarate [c] + L-Isoleucine [c] <=> (S)-3-Methyl-2-oxopentanoate [c] + L-Glutamate [c],ok,ok,ok,ok,0,ok,Cofactors
ILETA,2-Oxoglutarate [c] + L-Isoleucine [c] <=> (S)-3-Methyl-2-oxopentanoate [c] + L-Glutamate [c],ok,ok,ok,ok,0,ok,Secondary metabolites
DHORD5,(S)-Dihydroorotate [c] + Menaquinone 8 [c] --> Menaquinol 8 [c] + Orotate C5H3N2O4 [c],ok,ok,ok,ok,0,bad,Nucleotides
EX_metsox_S__L_e,L-Methionine Sulfoxide [e] -->,ok,ok,ok,bad,2,ok,Not in KEGG
GLYCTO2,Glycolate C2H3O3 [c] + Ubiquinone-8 [c] --> Glyoxylate [c] + Ubiquinol-8 [c],ok,ok,ok,ok,0,bad,Carbohydrates
VALTA,2-Oxoglutarate [c] + L-Valine [c] <=> 3-Methyl-2-oxobutanoate [c] + L-Glutamate [c],ok,bad,ok,ok,0,ok,Amino acids
VALTA,2-Oxoglutarate [c] + L-Valine [c] <=> 3-Methyl-2-oxobutanoate [c] + L-Glutamate [c],ok,bad,ok,ok,0,ok,Cofactors
VALTA,2-Oxoglutarate [c] + L-Valine [c] <=> 3-Methyl-2-oxobutanoate [c] + L-Glutamate [c],ok,bad,ok,ok,0,ok,Secondary metabolites
GLYCTO3,Glycolate C2H3O3 [c] + Menaquinone 8 [c] --> Glyoxylate [c] + Menaquinol 8 [c],ok,ok,ok,ok,0,bad,Carbohydrates
IPPMIb,2-Isopropylmaleate [c] + H2O H2O [c] <=> 3-Carboxy-3-hydroxy-4-methylpentanoate [c],ok,ok,ok,ok,0,ok,Carbohydrates
IPPMIb,2-Isopropylmaleate [c] + H2O H2O [c] <=> 3-Carboxy-3-hydroxy-4-methylpentanoate [c],ok,ok,ok,ok,0,ok,Amino acids
IPPMIb,2-Isopropylmaleate [c] + H2O H2O [c] <=> 3-Carboxy-3-hydroxy-4-methylpentanoate [c],ok,ok,ok,ok,0,ok,Secondary metabolites
GLYCTO4,2-Demethylmenaquinone 8 [c] + Glycolate C2H3O3 [c] --> 2-Demethylmenaquinol 8 [c] + Glyoxylate [c],ok,ok,ok,ok,0,ok,Carbohydrates
ORPT,Orotidine 5'-phosphate [c] + Diphosphate [c] <=> Orotate C5H3N2O4 [c] + 5-Phospho-alpha-D-ribose 1-diphosphate [c],bad,ok,ok,ok,0,ok,Nucleotides
RBFSa,"4-(1-D-Ribitylamino)-5-aminouracil [c] + 3,4-dihydroxy-2-butanone 4-phosphate [c] --> 6,7-Dimethyl-8-(1-D-ribityl)lumazine [c] + 2.0 H2O H2O [c] + Phosphate [c]",ok,ok,ok,ok,0,ok,Cofactors
ACHBS,2-Oxobutanoate [c] + H+ [c] + Pyruvate [c] --> (S)-2-Aceto-2-hydroxybutanoate [c] + CO2 CO2 [c],ok,ok,ok,ok,0,ok,Carbohydrates
ACHBS,2-Oxobutanoate [c] + H+ [c] + Pyruvate [c] --> (S)-2-Aceto-2-hydroxybutanoate [c] + CO2 CO2 [c],ok,ok,ok,ok,0,ok,Amino acids
ACHBS,2-Oxobutanoate [c] + H+ [c] + Pyruvate [c] --> (S)-2-Aceto-2-hydroxybutanoate [c] + CO2 CO2 [c],ok,ok,ok,ok,0,ok,Cofactors
PFK_3,"ATP C10H12N5O13P3 [c] + Sedoheptulose 7-phosphate [c] --> ADP C10H12N5O10P2 [c] + H+ [c] + Sedoheptulose 1,7-bisphosphate [c]",ok,ok,ok,ok,0,ok,Carbohydrates
PFK_3,"ATP C10H12N5O13P3 [c] + Sedoheptulose 7-phosphate [c] --> ADP C10H12N5O10P2 [c] + H+ [c] + Sedoheptulose 1,7-bisphosphate [c]",ok,ok,ok,ok,0,ok,Energy
DHAD2,"(R)-2,3-Dihydroxy-3-methylpentanoate [c] --> (S)-3-Methyl-2-oxopentanoate [c] + H2O H2O [c]",ok,ok,ok,ok,0,ok,Amino acids
DHAD2,"(R)-2,3-Dihydroxy-3-methylpentanoate [c] --> (S)-3-Methyl-2-oxopentanoate [c] + H2O H2O [c]",ok,ok,ok,ok,0,ok,Cofactors
ACLS,H+ [c] + 2.0 Pyruvate [c] --> (S)-2-Acetolactate [c] + CO2 CO2 [c],ok,ok,ok,ok,0,ok,Carbohydrates
ACLS,H+ [c] + 2.0 Pyruvate [c] --> (S)-2-Acetolactate [c] + CO2 CO2 [c],ok,ok,ok,ok,0,ok,Amino acids
ACLS,H+ [c] + 2.0 Pyruvate [c] --> (S)-2-Acetolactate [c] + CO2 CO2 [c],ok,ok,ok,ok,0,ok,Cofactors
TRPS2,Indole [c] + L-Serine [c] --> H2O H2O [c] + L-Tryptophan [c],ok,ok,ok,ok,0,ok,Amino acids
PSCVT,Phosphoenolpyruvate [c] + Shikimate 5-phosphate [c] <=> 5-O-(1-Carboxyvinyl)-3-phosphoshikimate [c] + Phosphate [c],ok,ok,ok,ok,0,ok,Amino acids
G3PD5,Glycerol 3-phosphate [c] + Ubiquinone-8 [c] --> Dihydroxyacetone phosphate [c] + Ubiquinol-8 [c],ok,ok,ok,ok,0,bad,Lipids
G1PP,D-Glucose 1-phosphate [c] + H2O H2O [c] --> D-Glucose [c] + Phosphate [c],ok,ok,ok,ok,0,ok,Carbohydrates
PFL,Coenzyme A [c] + Pyruvate [c] --> Acetyl-CoA [c] + Formate [c],ok,ok,ok,ok,0,ok,Carbohydrates
EX_acgam_e,N-Acetyl-D-glucosamine [e] -->,ok,ok,ok,bad,2,ok,Not in KEGG
ANS,Chorismate [c] + L-Glutamine [c] --> Anthranilate [c] + L-Glutamate [c] + H+ [c] + Pyruvate [c],ok,ok,ok,ok,0,ok,Amino acids
ANS,Chorismate [c] + L-Glutamine [c] --> Anthranilate [c] + L-Glutamate [c] + H+ [c] + Pyruvate [c],ok,ok,ok,ok,0,ok,Secondary metabolites
FRD2,Fumarate [c] + Menaquinol 8 [c] --> Menaquinone 8 [c] + Succinate [c],ok,ok,ok,ok,0,bad,Carbohydrates
FRD2,Fumarate [c] + Menaquinol 8 [c] --> Menaquinone 8 [c] + Succinate [c],ok,ok,ok,ok,0,bad,Energy
FRD3,2-Demethylmenaquinol 8 [c] + Fumarate [c] --> 2-Demethylmenaquinone 8 [c] + Succinate [c],ok,ok,ok,ok,0,ok,Carbohydrates
FRD3,2-Demethylmenaquinol 8 [c] + Fumarate [c] --> 2-Demethylmenaquinone 8 [c] + Succinate [c],ok,ok,ok,ok,0,ok,Energy
ANPRT,Anthranilate [c] + 5-Phospho-alpha-D-ribose 1-diphosphate [c] --> Diphosphate [c] + N-(5-Phospho-D-ribosyl)anthranilate [c],ok,ok,ok,ok,0,ok,Amino acids
POX,H2O H2O [c] + Pyruvate [c] + Ubiquinone-8 [c] --> Acetate [c] + CO2 CO2 [c] + Ubiquinol-8 [c],ok,ok,ok,ok,0,ok,Carbohydrates
CHORM,Chorismate [c] --> Prephenate [c],ok,ok,ok,ok,0,ok,Amino acids
CHORM,Chorismate [c] --> Prephenate [c],ok,ok,ok,ok,0,ok,Secondary metabolites
PTAr,Acetyl-CoA [c] + Phosphate [c] <=> Acetyl phosphate [c] + Coenzyme A [c],ok,ok,ok,ok,0,ok,Carbohydrates
PTAr,Acetyl-CoA [c] + Phosphate [c] <=> Acetyl phosphate [c] + Coenzyme A [c],ok,ok,ok,ok,0,ok,Energy
PTAr,Acetyl-CoA [c] + Phosphate [c] <=> Acetyl phosphate [c] + Coenzyme A [c],ok,ok,ok,ok,0,ok,Other amino acids
CHORS,5-O-(1-Carboxyvinyl)-3-phosphoshikimate [c] --> Chorismate [c] + Phosphate [c],ok,ok,ok,ok,0,ok,Amino acids
IGPS,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate [c] + H+ [c] --> C'-(3-Indolyl)-glycerol 3-phosphate [c] + CO2 CO2 [c] + H2O H2O [c],ok,ok,ok,ok,0,ok,Amino acids
ACKr,Acetate [c] + ATP C10H12N5O13P3 [c] <=> Acetyl phosphate [c] + ADP C10H12N5O10P2 [c],ok,ok,ok,ok,0,ok,Carbohydrates
ACKr,Acetate [c] + ATP C10H12N5O13P3 [c] <=> Acetyl phosphate [c] + ADP C10H12N5O10P2 [c],ok,ok,ok,ok,0,ok,Energy
ACKr,Acetate [c] + ATP C10H12N5O13P3 [c] <=> Acetyl phosphate [c] + ADP C10H12N5O10P2 [c],ok,ok,ok,ok,0,ok,Other amino acids
ACKr,Acetate [c] + ATP C10H12N5O13P3 [c] <=> Acetyl phosphate [c] + ADP C10H12N5O10P2 [c],ok,ok,ok,ok,0,ok,Nucleotides
EX_cellb_e,Cellobiose [e] -->,ok,ok,ok,bad,79,ok,Not in KEGG
EX_crn_e,L-Carnitine [e] -->,ok,ok,ok,ok,0,ok,Not in KEGG
EX_hxan_e,Hypoxanthine [e] -->,ok,ok,ok,ok,0,ok,Not in KEGG
EX_ile__L_e,L-Isoleucine [e] -->,ok,ok,ok,ok,0,ok,Not in KEGG
EX_chol_e,Choline C5H14NO [e] -->,ok,ok,ok,ok,0,ok,Not in KEGG
EX_fe3_e,Iron (Fe3+) [e] <=>,ok,ok,ok,ok,0,ok,Not in KEGG
LEUTAi,4-Methyl-2-oxopentanoate [c] + L-Glutamate [c] --> 2-Oxoglutarate [c] + L-Leucine [c],ok,ok,ok,ok,0,ok,Amino acids
LEUTAi,4-Methyl-2-oxopentanoate [c] + L-Glutamate [c] --> 2-Oxoglutarate [c] + L-Leucine [c],ok,ok,ok,ok,0,ok,Secondary metabolites
LEUTAi,4-Methyl-2-oxopentanoate [c] + L-Glutamate [c] --> 2-Oxoglutarate [c] + L-Leucine [c],ok,ok,ok,ok,0,ok,Cofactors
EX_lac__L_e,L-Lactate [e] -->,ok,ok,ok,ok,0,ok,Not in KEGG
EX_leu__L_e,L-Leucine [e] -->,ok,ok,ok,ok,0,ok,Not in KEGG
EX_glcn_e,D-Gluconate [e] -->,ok,ok,ok,ok,0,ok,Not in KEGG
EX_no3_e,Nitrate [e] -->,ok,ok,ok,bad,4,ok,Not in KEGG
EX_h_e,H+ [e] <=>,ok,ok,ok,ok,0,ok,Not in KEGG
DMATT,Dimethylallyl diphosphate [c] + Isopentenyl diphosphate [c] --> Geranyl diphosphate [c] + Diphosphate [c],ok,ok,ok,ok,0,ok,Terpenoids
EX_orn_e,Ornithine [e] -->,ok,ok,ok,ok,0,ok,Not in KEGG
GRTT,Geranyl diphosphate [c] + Isopentenyl diphosphate [c] --> Farnesyl diphosphate [c] + Diphosphate [c],ok,ok,ok,ok,0,ok,Terpenoids
EX_gln__L_e,L-Glutamine [e] -->,ok,ok,ok,bad,20,ok,Not in KEGG
UPP3S,Hydroxymethylbilane [c] --> H2O H2O [c] + Uroporphyrinogen III [c],ok,ok,bad,ok,2,ok,Cofactors
EX_pro__L_e,L-Proline [e] -->,ok,ok,ok,ok,0,ok,Not in KEGG
EX_glyc_e,Glycerol [e] -->,ok,ok,ok,ok,0,ok,Not in KEGG
UPPDC1,4.0 H+ [c] + Uroporphyrinogen III [c] --> 4.0 CO2 CO2 [c] + Coproporphyrinogen III [c],ok,ok,bad,ok,2,ok,Cofactors
EX_man_e,D-Mannose [e] -->,ok,ok,ok,bad,41,ok,Not in KEGG
