reaction_id,reaction_equation,dil_test_in_v12
MAR04775,"D-tagatose-6-phosphate [c] + ITP [c] <=> H+ [c] + IDP [c] + tagatose-1,6-bisphosphate [c]",MAM02193c;MAM02161c;MAM02955c
MAR04831,lactose [e] + NAD+ [e] <=> 3-ketolactose [e] + H+ [e] + NADH [e],ok
MAR04832,3-keto-beta-D-galactose [e] + glucose [e] <=> 3-ketolactose [e] + H2O [e],ok
MAR07674,glucose [g] + UDP-galactose [g] --> H+ [g] + lactose [g] + UDP [g],ok
MAR08761,ATP [c] + D-tagatose [c] --> ADP [c] + D-tagatose-6-phosphate [c] + H+ [c],ok
MAR08762,D-tagatose-6-phosphate [c] <=> DHAP [c] + glyceraldehyde [c],ok
MAR08764,H2O [l] + lactose [l] --> galactose [l] + glucose [l],ok
MAR08766,galactose [c] + H+ [c] + NADPH [c] <=> galactitol [c] + NADP+ [c],ok
MAR08767,alpha-D-galactose-1-phosphate [c] + H+ [c] + UTP [c] --> PPi [c] + UDP-galactose [c],ok
MAR00454,ATP [c] + glyceraldehyde [c] --> ADP [c] + GAP [c] + H+ [c],ok
MAR04297,"ATP [c] + fructose-6-phosphate [c] --> ADP [c] + fructose-2,6-bisphosphate [c] + H+ [c]",ok
MAR04310,ATP [c] + fructose [c] --> ADP [c] + fructose-1-phosphate [c] + H+ [c],always blocked
MAR04315,D-glucitol [c] + NAD+ [c] <=> fructose [c] + H+ [c] + NADH [c],ok
MAR04316,D-glucitol [c] + NADP+ [c] <=> glucose [c] + H+ [c] + NADPH [c],ok
MAR04317,ATP [c] + D-glucitol [c] --> ADP [c] + H+ [c] + sorbitol-3-phosphate [c],always blocked
MAR04318,ATP [c] + fructose [c] --> ADP [c] + fructose-3-phosphate [c] + H+ [c],always blocked
MAR04319,ATP [c] + fructose [c] --> ADP [c] + fructose-6-phosphate [c] + H+ [c],ok
MAR04320,"ATP [c] + mannose-1-phosphate [c] --> ADP [c] + D-mannose-1,6-bisphosphate [c] + H+ [c]",always blocked
MAR04356,DHAP [c] + glyceraldehyde [c] --> fructose-1-phosphate [c],always blocked
MAR04383,fructose-6-phosphate [c] <=> mannose-6-phosphate [c],ok
MAR04385,mannose-6-phosphate [c] --> mannose-1-phosphate [c],ok
MAR04386,GDP [c] + H+ [c] + mannose-1-phosphate [c] --> GDP-mannose [c] + Pi [c],ok
MAR04387,GTP [c] + H+ [c] + mannose-1-phosphate [c] --> GDP-mannose [c] + PPi [c],ok
MAR04399,GDP-mannose [c] --> GDP-4-dehydro-6-deoxy-D-mannose [c] + H2O [c],ok
MAR04400,GDP-4-dehydro-6-deoxy-D-mannose [c] + H+ [c] + NADH [c] --> GDP-L-fucose [c] + NAD+ [c],ok
MAR04401,GDP-L-fucose [c] + PPi [c] <=> GTP [c] + H+ [c] + L-fucose-1-phosphate [c],ok
MAR04402,6-deoxy-L-galactose [c] + ATP [c] <=> ADP [c] + H+ [c] + L-fucose-1-phosphate [c],ok
MAR04403,6-deoxy-L-galactose [c] --> L-fuculose [c],always blocked
MAR04490,ATP [c] + mannose [c] --> ADP [c] + H+ [c] + mannose-6-phosphate [c],ok
MAR04706,"fructose-2,6-bisphosphate [c] + H2O [c] --> fructose-6-phosphate [c] + Pi [c]",ok
MAR08768,GDP-4-dehydro-6-deoxy-D-mannose [c] + H+ [c] + NADPH [c] --> GDP-L-fucose [c] + NADP+ [c],ok
MAR04590,H+ [c] + L-xylulose [c] + NADPH [c] --> NADP+ [c] + xylitol [c],ok
MAR04591,NAD+ [c] + xylitol [c] --> H+ [c] + L-xylulose [c] + NADH [c],ok
MAR04592,D-xylose [c] + H+ [c] + NADPH [c] <=> NADP+ [c] + xylitol [c],ok
MAR04593,NAD+ [c] + xylitol [c] --> D-xylulose [c] + H+ [c] + NADH [c],ok
MAR04594,D-xylose [c] + NADP+ [c] --> D-xylonolactone [c] + H+ [c] + NADPH [c],always blocked
MAR04595,ADP [c] + D-xylulose-5-phosphate [c] + H+ [c] <=> ATP [c] + D-xylulose [c],ok
MAR08341,H+ [c] + L-arabinose [c] + NADPH [c] --> L-arabitol [c] + NADP+ [c],ok
MAR08342,H+ [c] + L-xylulose [c] + NADH [c] <=> L-arabitol [c] + NAD+ [c],ok
MAR08344,glucuronate [r] + H+ [r] + NADPH [r] <=> L-gulonate [r] + NADP+ [r],ok
MAR08352,3-dehydro-L-gulonate [c] + H+ [c] + NADH [c] <=> L-gulonate [c] + NAD+ [c],ok
MAR08353,3-dehydro-L-gulonate [c] + H+ [c] <=> CO2 [c] + L-xylulose [c],ok
MAR08726,ATP [c] + D-ribulose [c] --> ADP [c] + H+ [c] + ribulose-5-phosphate [c],ok
MAR08727,H2O [c] + UDP-glucuronate [c] --> D-glucuronate 1-phosphate [c] + 2.0 H+ [c] + UMP [c],ok
MAR08728,D-glucuronate 1-phosphate [c] + H2O [c] --> glucuronate [c] + Pi [c],ok
MAR08729,H2O [c] + UDP-glucuronate [c] --> glucuronate [c] + H+ [c] + UDP [c],ok
MAR06537,glucuronate [c] + H+ [c] + NADPH [c] <=> L-gulonate [c] + NADP+ [c],ok
MAR01568,acetaldehyde [c] + H2O [c] + NAD+ [c] --> acetate [c] + 2.0 H+ [c] + NADH [c],ok
MAR03853,GSH [c] + methylglyoxal [c] --> (R)-S-lactoylglutathione [c],ok
MAR03854,H+ [c] + methylglyoxal [c] + NADH [c] --> lactaldehyde [c] + NAD+ [c],ok
MAR03855,"H+ [c] + lactaldehyde [c] + NADPH [c] --> NADP+ [c] + propane-1,2-diol [c]",ok
MAR03857,(R)-S-lactoylglutathione [c] + H2O [c] --> D-lactate [c] + GSH [c] + H+ [c],ok
MAR03859,D-lactate [c] + 2.0 ferricytochrome C [m] --> 2.0 ferrocytochrome C [m] + 2.0 H+ [c] + pyruvate [c],MAM01824m;MAM01826m
MAR04087,malate [m] + NAD+ [m] --> CO2 [m] + NADH [m] + pyruvate [m],ok
MAR04089,malate [c] + NADP+ [c] --> CO2 [c] + NADPH [c] + pyruvate [c],ok
MAR04091,malate [m] + NADP+ [m] --> CO2 [m] + NADPH [m] + pyruvate [m],ok
MAR04093,acetyl-CoA [c] + H2O [c] --> acetate [c] + CoA [c] + H+ [c],ok
MAR04095,acetyl-CoA [m] + H2O [m] --> acetate [m] + CoA [m] + H+ [m],ok
MAR04101,GTP [c] + OAA [c] --> CO2 [c] + GDP [c] + PEP [c],ok
MAR04103,GTP [m] + OAA [m] --> CO2 [m] + GDP [m] + PEP [m],ok
MAR04143,ATP [m] + HCO3- [m] + pyruvate [m] --> ADP [m] + H+ [m] + OAA [m] + Pi [m],ok
MAR04193,CDP [c] + H+ [c] + PEP [c] --> CTP [c] + pyruvate [c],ok
MAR08497,H+ [c] + methylglyoxal [c] + NADPH [c] --> hydroxyacetone [c] + NADP+ [c],ok
MAR08498,acetone [c] + H+ [c] + NADPH [c] + O2 [c] --> H2O [c] + hydroxyacetone [c] + NADP+ [c],ok
MAR08499,H+ [c] + hydroxyacetone [c] + NADPH [c] + O2 [c] --> 2.0 H2O [c] + methylglyoxal [c] + NADP+ [c],ok
MAR08500,"H+ [c] + hydroxyacetone [c] + NADPH [c] --> NADP+ [c] + propane-1,2-diol [c]",ok
MAR08501,H+ [c] + methylglyoxal [c] + NADPH [c] --> D-lactaldehyde [c] + NADP+ [c],ok
MAR08502,(R)-S-lactoylglutathione [c] + H+ [c] + NADH [c] <=> D-lactaldehyde [c] + GSH [c] + NAD+ [c],ok
MAR08503,H2O [c] + lactaldehyde [c] + NAD+ [c] --> 2.0 H+ [c] + L-lactate [c] + NADH [c],ok
MAR08504,D-lactaldehyde [c] + H2O [c] + NAD+ [c] --> D-lactate [c] + 2.0 H+ [c] + NADH [c],ok
MAR08506,H2O [m] + lactaldehyde [m] + NAD+ [m] --> 2.0 H+ [m] + L-lactate [m] + NADH [m],ok
MAR08507,"NAD+ [c] + propane-1,2-diol [c] --> D-lactaldehyde [c] + H+ [c] + NADH [c]",ok
MAR08508,"NAD+ [c] + propane-1,2-diol [c] --> H+ [c] + lactaldehyde [c] + NADH [c]",ok
MAR08509,"D-lactaldehyde [c] + H+ [c] + NADPH [c] --> NADP+ [c] + propane-1,2-diol [c]",ok
MAR08511,(R)-S-lactoylglutathione [m] + H2O [m] --> D-lactate [m] + GSH [m] + H+ [m],ok
MAR08512,D-lactate [c] + NAD+ [c] <=> H+ [c] + NADH [c] + pyruvate [c],ok
MAR08514,2.0 ferricytochrome C [m] + L-lactate [c] --> 2.0 ferrocytochrome C [m] + 2.0 H+ [c] + pyruvate [c],MAM01824m;MAM01826m
MAR08516,DHAP [c] --> methylglyoxal [c] + Pi [c],ok
MAR08517,GAP [c] --> methylglyoxal [c] + Pi [c],ok
MAR04280,H+ [m] + NADH [m] + pyruvate [m] <=> L-lactate [m] + NAD+ [m],ok
MAR00153,ATP [c] + CoA [c] + propanoate [c] --> AMP [c] + PPi [c] + propanoyl-CoA [c],ok
MAR03212,FAD [m] + propanoyl-CoA [m] --> acrylyl-CoA [m] + FADH2 [m],ok
MAR03797,AMP [m] + PPi [m] + propanoyl-CoA [m] <=> ATP [m] + CoA [m] + propanoate [m],ok
MAR03800,2-oxobutyrate [m] + CoA [m] + NAD+ [m] --> CO2 [m] + NADH [m] + propanoyl-CoA [m],ok
MAR04105,H+ [c] + malonyl-CoA [c] --> acetyl-CoA [c] + CO2 [c],ok
MAR04106,H+ [m] + malonyl-CoA [m] --> acetyl-CoA [m] + CO2 [m],ok
MAR04107,H+ [x] + malonyl-CoA [x] --> acetyl-CoA [x] + CO2 [x],ok
MAR04282,3-oxopropanoate [m] + CoA [m] + NAD+ [m] --> acetyl-CoA [m] + CO2 [m] + NADH [m],ok
MAR04331,AMP [c] + H+ [c] + propanoyl-CoA [c] <=> CoA [c] + propinol adenylate [c],ok
MAR04459,ATP [c] + H+ [c] + propanoate [c] --> PPi [c] + propinol adenylate [c],ok
MAR04460,ATP [m] + H+ [m] + propanoate [m] <=> PPi [m] + propinol adenylate [m],ok
MAR04464,acetoacetate [m] + H+ [m] --> acetone [m] + CO2 [m],ok
MAR04497,hydracrylate [m] + NAD+ [m] --> 3-oxopropanoate [m] + H+ [m] + NADH [m],ok
MAR04741,3-hydroxypropionyl-CoA [m] + H2O [m] --> CoA [m] + H+ [m] + hydracrylate [m],ok
MAR08078,H2O [c] + OAA [c] + propanoyl-CoA [c] --> 2-methylcitrate [c] + CoA [c] + H+ [c],ok
MAR09803,2.0 H+ [m] + malonyl-CoA [m] + NADPH [m] <=> H2O [m] + NADP+ [m] + 3-oxopropionyl-CoA [m],ok
MAR09804,3-hydroxypropionyl-CoA [m] + NADP+ [m] <=> H+ [m] + NADPH [m] + 3-oxopropionyl-CoA [m],ok
MAR00718,AKG [c] + FADH2 [c] --> 2-hydroxyglutarate [c] + FAD [c],always blocked
MAR00719,AKG [c] + H+ [c] + NADH [c] --> 2-hydroxyglutarate [c] + NAD+ [c],always blocked
MAR01434,acetoacetyl-CoA [c] + CoA [c] <=> 2.0 acetyl-CoA [c],ok
MAR01436,acetoacetate [c] + ATP [c] + CoA [c] --> acetoacetyl-CoA [c] + AMP [c] + PPi [c],ok
MAR03163,butyryl-CoA [m] + FAD [m] --> crotonyl-CoA [m] + FADH2 [m],ok
MAR04461,(R)-3-hydroxybutanoate [m] + NAD+ [m] <=> acetoacetate [m] + H+ [m] + NADH [m],ok
MAR04604,acetoacetyl-CoA [x] + acetyl-CoA [x] + H2O [x] --> CoA [x] + H+ [x] + HMG-CoA [x],ok
MAR05351,2-hydroxybutyrate [c] + NAD+ [c] <=> 2-oxobutyrate [c] + H+ [c] + NADH [c],ok
MAR07709,(R)-3-hydroxybutanoyl-CoA [m] <=> crotonyl-CoA [m] + H2O [m],ok
MAR04052,ATP [c] + ribose-5-phosphate [c] --> AMP [c] + H+ [c] + PRPP [c],ok
MAR04304,"glucose-6-phosphate [r] + NADP+ [r] --> glucono-1,5-lactone-6-phosphate [r] + H+ [r] + NADPH [r]",ok
MAR04306,"glucono-1,5-lactone-6-phosphate [c] + H+ [c] + NADPH [c] <=> glucose-6-phosphate [c] + NADP+ [c]",ok
MAR04350,ADP [c] + H+ [c] + ribose-5-phosphate [c] <=> ATP [c] + ribose [c],ok
MAR04351,ribose-5-phosphate [r] <=> ribulose-5-phosphate [r],ok
MAR04352,ribose-5-phosphate [c] <=> ribulose-5-phosphate [c],ok
MAR04354,ribose-1-phosphate [c] <=> ribose-5-phosphate [c],ok
MAR04398,2-deoxy-D-ribose-5-phosphate [c] <=> acetaldehyde [c] + GAP [c],ok
MAR04404,D-xylulose-5-phosphate [c] + erythrose-4-phosphate [c] <=> fructose-6-phosphate [c] + GAP [c],ok
MAR04473,6-phospho-D-gluconate [r] + NADP+ [r] --> CO2 [r] + NADPH [r] + ribulose-5-phosphate [r],ok
MAR04474,6-phospho-D-gluconate [c] + NADP+ [c] --> CO2 [c] + NADPH [c] + ribulose-5-phosphate [c],ok
MAR04476,6-phospho-D-gluconate [c] + ADP [c] + H+ [c] <=> ATP [c] + D-gluconic acid [c],ok
MAR04477,D-xylulose-5-phosphate [c] <=> ribulose-5-phosphate [c],ok
MAR04501,D-xylulose-5-phosphate [c] + ribose-5-phosphate [c] <=> GAP [c] + sedoheptulose-7-phosphate [c],ok
MAR04565,GAP [c] + sedoheptulose-7-phosphate [c] <=> erythrose-4-phosphate [c] + fructose-6-phosphate [c],ok
MAR04567,"ADP [c] + H+ [c] + sedoheptulose-1,7-bisphosphate [c] <=> ATP [c] + sedoheptulose-7-phosphate [c]",ok
MAR04568,"H+ [c] + sedoheptulose-1,7-bisphosphate [c] + UDP [c] <=> sedoheptulose-7-phosphate [c] + UTP [c]",ok
MAR09799,ATP [c] + sedoheptulose [c] <=> ADP [c] + H+ [c] + sedoheptulose-7-phosphate [c],always blocked
MAR09800,ATP [c] + sedoheptulose [c] <=> ADP [c] + H+ [c] + sedoheptulose-1-phosphate [c],always blocked
MAR04623,"glucono-1,5-lactone-6-phosphate [r] + H2O [r] --> 6-phospho-D-gluconate [r] + H+ [r]",ok
MAR04625,"glucono-1,5-lactone-6-phosphate [c] + H2O [c] --> 6-phospho-D-gluconate [c] + H+ [c]",ok
MAR04710,2-deoxy-D-ribose-1-phosphate [c] <=> 2-deoxy-D-ribose-5-phosphate [c],ok
MAR04841,H+ [c] + NADH [c] + ribose [c] <=> NAD+ [c] + ribitol [c],ok
MAR08074,ATP [c] + deoxyribose [c] --> 2-deoxy-D-ribose-5-phosphate [c] + ADP [c] + H+ [c],ok
MAR08653,"glucono-1,5-lactone-6-phosphate [r] + H+ [r] + NADH [r] <=> glucose-6-phosphate [r] + NAD+ [r]",ok
MAR03998,ADP [c] + H2O [c] --> AMP [c] + H+ [c] + Pi [c],ok
MAR04000,ATP [c] --> cAMP [c] + PPi [c],ok
MAR04002,2.0 ADP [c] <=> AMP [c] + ATP [c],ok
MAR04004,2.0 ADP [m] <=> AMP [m] + ATP [m],ok
MAR04010,AMP [c] + H2O [c] --> adenosine [c] + Pi [c],ok
MAR04081,AMP [e] + H2O [e] --> adenosine [e] + Pi [e],ok
MAR04082,AMP [m] + H2O [m] --> adenosine [m] + Pi [m],ok
MAR04012,adenosine [c] + ATP [c] --> ADP [c] + AMP [c] + H+ [c],ok
MAR04014,cAMP [c] + H2O [c] --> AMP [c] + H+ [c],ok
MAR04020,ADP [c] + GDP [c] <=> ATP [c] + GMP [c],ok
MAR04022,GTP [c] --> cGMP [c] + PPi [c],ok
MAR04038,FAICAR [c] <=> H2O [c] + IMP [c],ok
MAR04040,H2O [c] + IMP [c] + NAD+ [c] --> H+ [c] + NADH [c] + xanthosine-5-phosphate [c],ok
MAR04042,aspartate [c] + GTP [c] + IMP [c] --> adenylosuccinate [c] + GDP [c] + 2.0 H+ [c] + Pi [c],ok
MAR04046,ATP [c] + glutamine [c] + H2O [c] + xanthosine-5-phosphate [c] --> AMP [c] + glutamate [c] + GMP [c] + 2.0 H+ [c] + PPi [c],ok
MAR04048,cGMP [c] + H2O [c] --> GMP [c] + H+ [c],ok
MAR04080,AMP [c] + H2O [c] --> IMP [c] + NH3 [c],ok
MAR04085,AMP [c] + PPi [c] <=> adenine [c] + PRPP [c],ok
MAR04086,AMP [e] + PPi [e] <=> adenine [e] + PRPP [e],ok
MAR04134,GDP [e] + H2O [e] --> GMP [e] + H+ [e] + Pi [e],ok
MAR04135,ADP [m] + GDP [m] <=> ATP [m] + GMP [m],ok
MAR04168,GTP [c] + H2O [c] --> GMP [c] + H+ [c] + PPi [c],ok
MAR04171,GDP [c] + H+ [c] + PEP [c] --> GTP [c] + pyruvate [c],ok
MAR04290,H2O [e] + ITP [e] --> H+ [e] + IDP [e] + Pi [e],always blocked
MAR04406,glutamine [c] + H2O [c] + PRPP [c] --> 5-phosphoribosylamine [c] + glutamate [c] + PPi [c],ok
MAR04412,AMP [c] + fumarate [c] <=> adenylosuccinate [c],ok
MAR04417,H2O [c] + IMP [c] --> inosine [c] + Pi [c],ok
MAR04418,IMP [c] + PPi [c] <=> hypoxanthine [c] + PRPP [c],ok
MAR04419,GMP [c] + H+ [c] + NADPH [c] --> IMP [c] + NADP+ [c] + NH3 [c],ok
MAR04421,dADP [c] + H+ [c] + PEP [c] --> dATP [c] + pyruvate [c],ok
MAR04449,GMP [c] + H2O [c] --> guanosine [c] + Pi [c],ok
MAR04450,GMP [e] + H2O [e] --> guanosine [e] + Pi [e],ok
MAR04451,ADP [m] + GMP [m] + H+ [m] --> ATP [m] + guanosine [m],ok
MAR04452,GMP [c] + PPi [c] <=> guanine [c] + PRPP [c],ok
MAR04453,ATP [c] + NH3 [c] + xanthosine-5-phosphate [c] --> AMP [c] + GMP [c] + H+ [c] + PPi [c],ok
MAR04480,ADP [c] + dADP [c] <=> ATP [c] + dAMP [c],ok
MAR04481,adenosine [c] + H2O [c] --> inosine [c] + NH3 [c],ok
MAR04482,adenosine [e] + H2O [e] --> inosine [e] + NH3 [e],ok
MAR04486,glucose [c] + ITP [c] --> glucose-6-phosphate [c] + H+ [c] + IDP [c],MAM02193c;MAM02161c
MAR04487,dATP [c] + glucose [c] --> dADP [c] + glucose-6-phosphate [c] + H+ [c],ok
MAR04488,fructose [c] + ITP [c] --> fructose-6-phosphate [c] + H+ [c] + IDP [c],MAM02193c;MAM02161c
MAR04489,dATP [c] + fructose [c] --> dADP [c] + fructose-6-phosphate [c] + H+ [c],ok
MAR04492,ITP [c] + mannose [c] --> H+ [c] + IDP [c] + mannose-6-phosphate [c],MAM02193c;MAM02161c
MAR04493,dATP [c] + mannose [c] --> dADP [c] + H+ [c] + mannose-6-phosphate [c],ok
MAR04495,glucosamine [c] + ITP [c] --> glucosamine-6-phosphate [c] + H+ [c] + IDP [c],MAM02193c;MAM02161c
MAR04496,dATP [c] + glucosamine [c] --> dADP [c] + glucosamine-6-phosphate [c] + H+ [c],ok
MAR04518,guanine [c] + H2O [c] --> NH3 [c] + xanthine [c],ok
MAR04519,H2O [c] + hypoxanthine [c] + NAD+ [c] --> H+ [c] + NADH [c] + xanthine [c],ok
MAR04520,H2O [c] + hypoxanthine [c] + O2 [c] --> H2O2 [c] + xanthine [c],ok
MAR04573,dGDP [c] + H+ [c] + PEP [c] --> dGTP [c] + pyruvate [c],ok
MAR04574,inosine [c] + Pi [c] <=> hypoxanthine [c] + ribose-1-phosphate [c],ok
MAR04600,ATP [c] + deoxyguanosine [c] --> ADP [c] + dGMP [c] + H+ [c],ok
MAR04602,dGMP [c] + H2O [c] --> deoxyguanosine [c] + Pi [c],ok
MAR04603,2-deoxy-D-ribose-1-phosphate [c] + guanine [c] <=> deoxyguanosine [c] + Pi [c],ok
