reaction_id,reaction_equation,loop_test,dilution_test,dead_end_test,pathway,duplicate_test,kegg_group
MAR08357,acetaldehyde [m] + H2O [m] + NAD+ [m] --> acetate [m] + 2.0 H+ [m] + NADH [m],ok,ok,ok,0,ok,Xenobiotics
MAR04379,"ATP [c] + fructose-6-phosphate [c] --> ADP [c] + fructose-1,6-bisphosphate [c] + H+ [c]",ok,ok,ok,0,ok,Carbohydrates
MAR04379,"ATP [c] + fructose-6-phosphate [c] --> ADP [c] + fructose-1,6-bisphosphate [c] + H+ [c]",ok,ok,ok,0,ok,Energy
MAR04301,"fructose-6-phosphate [c] + UTP [c] --> fructose-1,6-bisphosphate [c] + H+ [c] + UDP [c]",ok,ok,ok,0,ok,Carbohydrates
MAR04301,"fructose-6-phosphate [c] + UTP [c] --> fructose-1,6-bisphosphate [c] + H+ [c] + UDP [c]",ok,ok,ok,0,ok,Energy
MAR04355,"DHAP [c] + erythrose-4-phosphate [c] --> sedoheptulose-1,7-bisphosphate [c]",ok,ok,ok,0,ok,Carbohydrates
MAR04355,"DHAP [c] + erythrose-4-phosphate [c] --> sedoheptulose-1,7-bisphosphate [c]",ok,ok,ok,0,ok,Energy
MAR04358,ADP [c] + H+ [c] + PEP [c] --> ATP [c] + pyruvate [c],bad,ok,ok,0,ok,Carbohydrates
MAR04360,H2O [c] + methylglyoxal [c] + NADP+ [c] --> 2.0 H+ [c] + NADPH [c] + pyruvate [c],ok,ok,ok,0,ok,Lipids
MAR04363,2-phospho-D-glycerate [c] <=> H2O [c] + PEP [c],ok,ok,ok,0,ok,Carbohydrates
MAR04363,2-phospho-D-glycerate [c] <=> H2O [c] + PEP [c],ok,ok,ok,0,ok,Energy
MAR04365,2-phospho-D-glycerate [c] <=> 3-phospho-D-glycerate [c],ok,ok,ok,0,ok,Carbohydrates
MAR04365,2-phospho-D-glycerate [c] <=> 3-phospho-D-glycerate [c],ok,ok,ok,0,ok,Energy
MAR04365,2-phospho-D-glycerate [c] <=> 3-phospho-D-glycerate [c],ok,ok,ok,0,ok,Amino acids
MAR04368,"1,3-bisphospho-D-glycerate [c] + ADP [c] <=> 3-phospho-D-glycerate [c] + ATP [c]",ok,ok,ok,0,ok,Carbohydrates
MAR04368,"1,3-bisphospho-D-glycerate [c] + ADP [c] <=> 3-phospho-D-glycerate [c] + ATP [c]",ok,ok,ok,0,ok,Energy
MAR04370,"1,3-bisphospho-D-glycerate [c] + H2O [c] --> 3-phospho-D-glycerate [c] + H+ [c] + Pi [c]",ok,ok,ok,0,ok,Carbohydrates
MAR04370,"1,3-bisphospho-D-glycerate [c] + H2O [c] --> 3-phospho-D-glycerate [c] + H+ [c] + Pi [c]",ok,ok,ok,0,ok,Xenobiotics
MAR04371,"1,3-bisphospho-D-glycerate [c] --> 2,3-bisphospho-D-glycerate [c] + H+ [c]",ok,ok,ok,0,ok,Carbohydrates
MAR04371,"1,3-bisphospho-D-glycerate [c] --> 2,3-bisphospho-D-glycerate [c] + H+ [c]",ok,ok,ok,0,ok,Energy
MAR04371,"1,3-bisphospho-D-glycerate [c] --> 2,3-bisphospho-D-glycerate [c] + H+ [c]",ok,ok,ok,0,ok,Amino acids
MAR04372,"2,3-bisphospho-D-glycerate [c] + H2O [c] --> 3-phospho-D-glycerate [c] + Pi [c]",ok,ok,ok,0,ok,Carbohydrates
MAR04372,"2,3-bisphospho-D-glycerate [c] + H2O [c] --> 3-phospho-D-glycerate [c] + Pi [c]",ok,ok,ok,0,ok,Amino acids
MAR04373,"1,3-bisphospho-D-glycerate [c] + H+ [c] + NADH [c] <=> D-glyceraldehyde 3-phosphate [c] + NAD+ [c] + Pi [c]",ok,ok,ok,0,ok,Carbohydrates
MAR04373,"1,3-bisphospho-D-glycerate [c] + H+ [c] + NADH [c] <=> D-glyceraldehyde 3-phosphate [c] + NAD+ [c] + Pi [c]",ok,ok,ok,0,ok,Energy
MAR04375,"DHAP [c] + D-glyceraldehyde 3-phosphate [c] <=> fructose-1,6-bisphosphate [c]",ok,ok,ok,0,ok,Carbohydrates
MAR04375,"DHAP [c] + D-glyceraldehyde 3-phosphate [c] <=> fructose-1,6-bisphosphate [c]",ok,ok,ok,0,ok,Energy
MAR04377,"fructose-1,6-bisphosphate [c] + H2O [c] --> fructose-6-phosphate [c] + Pi [c]",ok,ok,ok,0,ok,Carbohydrates
MAR04377,"fructose-1,6-bisphosphate [c] + H2O [c] --> fructose-6-phosphate [c] + Pi [c]",ok,ok,ok,0,ok,Energy
MAR04381,fructose-6-phosphate [c] <=> glucose-6-phosphate [c],ok,ok,ok,0,ok,Carbohydrates
MAR04391,DHAP [c] <=> D-glyceraldehyde 3-phosphate [c],ok,ok,ok,0,ok,Carbohydrates
MAR04391,DHAP [c] <=> D-glyceraldehyde 3-phosphate [c],ok,ok,ok,0,ok,Energy
MAR04394,ATP [c] + glucose [c] --> ADP [c] + glucose-6-phosphate [c] + H+ [c],ok,ok,ok,0,ok,Carbohydrates
MAR04394,ATP [c] + glucose [c] --> ADP [c] + glucose-6-phosphate [c] + H+ [c],ok,ok,ok,0,ok,Secondary metabolites
MAR04396,glucose-1-phosphate [c] <=> glucose-6-phosphate [c],ok,ok,ok,0,ok,Carbohydrates
MAR04396,glucose-1-phosphate [c] <=> glucose-6-phosphate [c],ok,ok,ok,0,ok,Nucleotides
MAR04396,glucose-1-phosphate [c] <=> glucose-6-phosphate [c],ok,ok,ok,0,ok,Secondary metabolites
MAR04521,glucose-6-phosphate [r] + H2O [r] --> glucose [r] + Pi [r],ok,ok,ok,0,bad,Carbohydrates
MAR06412,CoA [m] + S-acetyldihydrolipoamide [m] --> acetyl-CoA [m] + dihydrolipoamide [m],ok,ok,ok,0,ok,Carbohydrates
MAR06412,CoA [m] + S-acetyldihydrolipoamide [m] --> acetyl-CoA [m] + dihydrolipoamide [m],ok,ok,ok,0,ok,Cofactors
MAR07745,beta-D-glucose [c] <=> glucose [c],ok,ok,bad,27,ok,Carbohydrates
MAR07747,ADP [c] + glucose [c] --> AMP [c] + glucose-6-phosphate [c] + H+ [c],ok,ok,ok,0,ok,Carbohydrates
MAR08360,ethanol [x] + H2O2 [x] --> acetaldehyde [x] + 2.0 H2O [x],ok,ok,ok,0,ok,Carbohydrates
MAR08360,ethanol [x] + H2O2 [x] --> acetaldehyde [x] + 2.0 H2O [x],ok,ok,ok,0,ok,Amino acids
MAR08652,carbamoyl-phosphate [r] + glucose [r] --> CO2 [r] + glucose-6-phosphate [r] + NH3 [r],ok,ok,bad,481,ok,Carbohydrates
MAR08757,ethanol [c] + H+ [c] + NADPH [c] + O2 [c] --> acetaldehyde [c] + 2.0 H2O [c] + NADP+ [c],ok,ok,ok,0,ok,Lipids
MAR08757,ethanol [c] + H+ [c] + NADPH [c] + O2 [c] --> acetaldehyde [c] + 2.0 H2O [c] + NADP+ [c],ok,ok,ok,0,ok,Xenobiotics
MAR03989,H2O [e] + maltose [e] --> 2.0 glucose [e],ok,ok,ok,0,ok,Carbohydrates
MAR04122,H2O [c] + 2.0 NAD+ [c] + UDP-glucose [c] --> 3.0 H+ [c] + 2.0 NADH [c] + UDP-glucuronate [c],ok,ok,ok,0,ok,Carbohydrates
MAR04122,H2O [c] + 2.0 NAD+ [c] + UDP-glucose [c] --> 3.0 H+ [c] + 2.0 NADH [c] + UDP-glucuronate [c],ok,ok,ok,0,ok,Glycans
MAR04837,H2O [e] + trehalose [e] --> 2.0 glucose [e],ok,ok,ok,0,ok,Carbohydrates
MAR05395,glycogenin [c] + 8.0 UDP-glucose [c] --> glycogenin G8 [c] + 8.0 H+ [c] + 8.0 UDP [c],ok,ok,ok,0,ok,Carbohydrates
MAR05396,glycogenin G8 [c] + 3.0 UDP-glucose [c] --> glycogenin G11 [c] + 3.0 H+ [c] + 3.0 UDP [c],ok,ok,ok,0,ok,Carbohydrates
MAR09727,UDP-glucose [c] --> H+ [c] + UDP [c] + glycogen [c],ok,ok,ok,0,ok,Carbohydrates
MAR05397,glycogenin G11 [c] --> glycogenin G4G7 [c],ok,ok,ok,0,ok,Carbohydrates
MAR05398,glycogenin G4G7 [c] + 3.0 Pi [c] --> 3.0 glucose-1-phosphate [c] + glycogenin G4G4 [c],ok,ok,ok,0,ok,Carbohydrates
MAR05399,glycogenin G4G4 [c] --> glycogenin G7G1 [c],ok,ok,ok,0,ok,Carbohydrates
MAR05400,glycogenin G7G1 [c] + H2O [c] --> glucose [c] + glycogenin G7 [c],ok,ok,ok,0,ok,Carbohydrates
MAR05401,glycogenin G7 [c] + 7.0 Pi [c] --> 7.0 glucose-1-phosphate [c] + glycogenin [c],ok,ok,ok,0,ok,Carbohydrates
MAR08568,H2O [c] + maltodecaose [c] --> fructose [c] + maltononaose [c],ok,ok,ok,0,ok,Carbohydrates
MAR08569,H2O [e] + maltodecaose [e] --> glucose [e] + maltononaose [e],ok,ok,ok,0,ok,Carbohydrates
MAR08570,2.0 H2O [c] + maltononaose [c] --> 2.0 fructose [c] + maltoheptaose [c],ok,ok,ok,0,ok,Carbohydrates
MAR08571,2.0 H2O [e] + maltononaose [e] --> 2.0 glucose [e] + maltoheptaose [e],ok,ok,ok,0,ok,Carbohydrates
MAR08572,H2O [c] + maltoheptaose [c] --> fructose [c] + maltohexaose [c],ok,ok,ok,0,ok,Carbohydrates
MAR08573,H2O [e] + maltoheptaose [e] --> glucose [e] + maltohexaose [e],ok,ok,ok,0,ok,Carbohydrates
MAR08574,H2O [c] + maltohexaose [c] --> fructose [c] + maltopentaose [c],ok,ok,ok,0,ok,Carbohydrates
MAR08575,H2O [e] + maltohexaose [e] --> glucose [e] + maltopentaose [e],ok,ok,ok,0,ok,Carbohydrates
MAR08576,H2O [c] + maltopentaose [c] --> fructose [c] + maltotetraose [c],ok,ok,ok,0,ok,Carbohydrates
MAR08577,H2O [e] + maltopentaose [e] --> glucose [e] + maltotetraose [e],ok,ok,ok,0,ok,Carbohydrates
MAR08578,H2O [c] + maltotetraose [c] --> fructose [c] + maltotriose [c],ok,ok,ok,0,ok,Carbohydrates
MAR08579,H2O [e] + maltotetraose [e] --> glucose [e] + maltotriose [e],ok,ok,ok,0,ok,Carbohydrates
MAR08581,H2O [e] + maltotriose [e] --> glucose [e] + maltose [e],ok,ok,ok,0,ok,Carbohydrates
MAR08591,H2O [c] + maltotriose [c] --> glucose [c] + maltose [c],ok,ok,ok,0,ok,Carbohydrates
MAR08592,H2O [l] + maltotriose [l] --> glucose [l] + maltose [l],ok,ok,ok,0,ok,Carbohydrates
MAR08580,H2O [c] + maltotriose [c] --> fructose [c] + maltose [c],ok,ok,ok,0,ok,Carbohydrates
MAR08582,H2O [c] + maltose [c] --> 2.0 fructose [c],ok,ok,ok,0,ok,Carbohydrates
MAR08587,H2O [c] + maltose [c] --> 2.0 glucose [c],ok,ok,ok,0,ok,Carbohydrates
MAR08589,H2O [l] + maltose [l] --> 2.0 glucose [l],ok,ok,ok,0,ok,Carbohydrates
MAR08583,8.0 H2O [e] + starch structure 1 [e] --> 8.0 glucose [e] + starch structure 2 [e],ok,ok,ok,0,ok,Carbohydrates
MAR08584,H2O [e] + starch structure 2 [e] --> glucose [e] + maltose [e],ok,ok,ok,0,ok,Carbohydrates
MAR08585,"1,3-bisphospho-D-glycerate [c] + glucose-1-phosphate [c] --> 3-phospho-D-glycerate [c] + glucose-1,6-bisphosphate [c]",ok,ok,ok,0,ok,Carbohydrates
MAR03944,glucose-1-phosphate [c] + H+ [c] + UTP [c] --> PPi [c] + UDP-glucose [c],ok,ok,ok,0,ok,Carbohydrates
MAR03944,glucose-1-phosphate [c] + H+ [c] + UTP [c] --> PPi [c] + UDP-glucose [c],ok,ok,ok,0,ok,Glycans
MAR04128,UDP-galactose [c] <=> UDP-glucose [c],ok,ok,ok,0,ok,Carbohydrates
MAR04128,UDP-galactose [c] <=> UDP-glucose [c],ok,ok,ok,0,ok,Glycans
MAR04130,ATP [c] + galactose [c] --> ADP [c] + alpha-D-galactose-1-phosphate [c] + H+ [c],ok,ok,ok,0,ok,Carbohydrates
MAR04131,glucose-1-phosphate [c] + UDP-galactose [c] <=> alpha-D-galactose-1-phosphate [c] + UDP-glucose [c],ok,ok,ok,0,ok,Carbohydrates
MAR04132,galactose-1-phosphate [c] + UDP-glucose [c] --> glucose-1-phosphate [c] + UDP-galactose [c],ok,ok,ok,0,ok,Carbohydrates
MAR04303,H2O [e] + sucrose [e] --> fructose [e] + glucose [e],ok,ok,ok,0,ok,Carbohydrates
MAR04414,ATP [c] + galactose [c] --> ADP [c] + galactose-1-phosphate [c] + H+ [c],ok,ok,ok,0,ok,Carbohydrates
MAR04415,H2O [e] + lactose [e] --> galactose [e] + glucose [e],ok,ok,ok,0,ok,Carbohydrates
MAR04415,H2O [e] + lactose [e] --> galactose [e] + glucose [e],ok,ok,ok,0,ok,Lipids
MAR04415,H2O [e] + lactose [e] --> galactose [e] + glucose [e],ok,ok,ok,0,ok,Glycans
MAR04416,galactosylglycerol [e] + H2O [e] --> galactose [e] + glycerol [e],ok,ok,ok,0,ok,Carbohydrates
MAR04416,galactosylglycerol [e] + H2O [e] --> galactose [e] + glycerol [e],ok,ok,ok,0,ok,Lipids
MAR04416,galactosylglycerol [e] + H2O [e] --> galactose [e] + glycerol [e],ok,ok,ok,0,ok,Glycans
MAR04774,"CDP [c] + H+ [c] + tagatose-1,6-bisphosphate [c] <=> CTP [c] + D-tagatose-6-phosphate [c]",bad,bad,ok,40,ok,Carbohydrates
MAR04774,"CDP [c] + H+ [c] + tagatose-1,6-bisphosphate [c] <=> CTP [c] + D-tagatose-6-phosphate [c]",bad,bad,ok,40,ok,Energy
MAR04775,"D-tagatose-6-phosphate [c] + ITP [c] <=> H+ [c] + IDP [c] + tagatose-1,6-bisphosphate [c]",bad,bad,ok,40,ok,Carbohydrates
MAR04775,"D-tagatose-6-phosphate [c] + ITP [c] <=> H+ [c] + IDP [c] + tagatose-1,6-bisphosphate [c]",bad,bad,ok,40,ok,Energy
MAR04831,lactose [e] + NAD+ [e] <=> 3-ketolactose [e] + H+ [e] + NADH [e],ok,ok,ok,0,ok,Not in KEGG
MAR04832,3-keto-beta-D-galactose [e] + glucose [e] <=> 3-ketolactose [e] + H2O [e],ok,ok,ok,0,ok,Carbohydrates
MAR04832,3-keto-beta-D-galactose [e] + glucose [e] <=> 3-ketolactose [e] + H2O [e],ok,ok,ok,0,ok,Lipids
MAR04832,3-keto-beta-D-galactose [e] + glucose [e] <=> 3-ketolactose [e] + H2O [e],ok,ok,ok,0,ok,Glycans
MAR07674,glucose [g] + UDP-galactose [g] --> H+ [g] + lactose [g] + UDP [g],ok,ok,ok,0,ok,Carbohydrates
MAR07674,glucose [g] + UDP-galactose [g] --> H+ [g] + lactose [g] + UDP [g],ok,ok,ok,0,ok,Glycans
MAR08761,ATP [c] + D-tagatose [c] --> ADP [c] + D-tagatose-6-phosphate [c] + H+ [c],ok,ok,ok,0,ok,Carbohydrates
MAR08762,D-tagatose-6-phosphate [c] <=> DHAP [c] + glyceraldehyde [c],ok,ok,ok,0,ok,Carbohydrates
MAR08762,D-tagatose-6-phosphate [c] <=> DHAP [c] + glyceraldehyde [c],ok,ok,ok,0,ok,Energy
MAR08764,H2O [l] + lactose [l] --> galactose [l] + glucose [l],ok,ok,ok,0,ok,Carbohydrates
MAR08766,galactose [c] + H+ [c] + NADPH [c] <=> galactitol [c] + NADP+ [c],ok,ok,ok,0,ok,Carbohydrates
MAR08766,galactose [c] + H+ [c] + NADPH [c] <=> galactitol [c] + NADP+ [c],ok,ok,ok,0,ok,Lipids
MAR08766,galactose [c] + H+ [c] + NADPH [c] <=> galactitol [c] + NADP+ [c],ok,ok,ok,0,ok,Cofactors
MAR08767,alpha-D-galactose-1-phosphate [c] + H+ [c] + UTP [c] --> PPi [c] + UDP-galactose [c],ok,ok,ok,0,ok,Carbohydrates
MAR00454,ATP [c] + glyceraldehyde [c] --> ADP [c] + D-glyceraldehyde 3-phosphate [c] + H+ [c],ok,ok,ok,0,ok,Not in KEGG
MAR04297,"ATP [c] + fructose-6-phosphate [c] --> ADP [c] + fructose-2,6-bisphosphate [c] + H+ [c]",ok,ok,ok,0,ok,Carbohydrates
MAR04310,ATP [c] + fructose [c] --> ADP [c] + fructose-1-phosphate [c] + H+ [c],ok,ok,bad,379,ok,Carbohydrates
MAR04315,D-glucitol [c] + NAD+ [c] <=> fructose [c] + H+ [c] + NADH [c],ok,ok,ok,0,ok,Carbohydrates
MAR04316,D-glucitol [c] + NADP+ [c] <=> glucose [c] + H+ [c] + NADPH [c],bad,ok,ok,0,bad,Carbohydrates
MAR04316,D-glucitol [c] + NADP+ [c] <=> glucose [c] + H+ [c] + NADPH [c],bad,ok,ok,0,bad,Lipids
MAR04316,D-glucitol [c] + NADP+ [c] <=> glucose [c] + H+ [c] + NADPH [c],bad,ok,ok,0,bad,Cofactors
MAR04317,ATP [c] + D-glucitol [c] --> ADP [c] + H+ [c] + sorbitol-3-phosphate [c],ok,ok,bad,532,ok,Carbohydrates
MAR04318,ATP [c] + fructose [c] --> ADP [c] + fructose-3-phosphate [c] + H+ [c],ok,ok,bad,564,ok,Carbohydrates
MAR04319,ATP [c] + fructose [c] --> ADP [c] + fructose-6-phosphate [c] + H+ [c],ok,ok,ok,0,ok,Carbohydrates
MAR04319,ATP [c] + fructose [c] --> ADP [c] + fructose-6-phosphate [c] + H+ [c],ok,ok,ok,0,ok,Secondary metabolites
MAR04320,"ATP [c] + mannose-1-phosphate [c] --> ADP [c] + D-mannose-1,6-bisphosphate [c] + H+ [c]",ok,ok,bad,72,ok,Carbohydrates
MAR04356,DHAP [c] + glyceraldehyde [c] --> fructose-1-phosphate [c],ok,ok,bad,379,ok,Carbohydrates
MAR04356,DHAP [c] + glyceraldehyde [c] --> fructose-1-phosphate [c],ok,ok,bad,379,ok,Energy
MAR04383,fructose-6-phosphate [c] <=> mannose-6-phosphate [c],ok,ok,ok,0,ok,Carbohydrates
MAR04383,fructose-6-phosphate [c] <=> mannose-6-phosphate [c],ok,ok,ok,0,ok,Glycans
MAR04385,mannose-6-phosphate [c] --> mannose-1-phosphate [c],ok,ok,ok,0,ok,Carbohydrates
MAR04386,GDP [c] + H+ [c] + mannose-1-phosphate [c] --> GDP-mannose [c] + Pi [c],ok,ok,ok,0,ok,Carbohydrates
MAR04387,GTP [c] + H+ [c] + mannose-1-phosphate [c] --> GDP-mannose [c] + PPi [c],ok,ok,ok,0,ok,Carbohydrates
MAR04399,GDP-mannose [c] --> GDP-4-dehydro-6-deoxy-D-mannose [c] + H2O [c],ok,ok,ok,0,ok,Carbohydrates
MAR04399,GDP-mannose [c] --> GDP-4-dehydro-6-deoxy-D-mannose [c] + H2O [c],ok,ok,ok,0,ok,Glycans
MAR04400,GDP-4-dehydro-6-deoxy-D-mannose [c] + H+ [c] + NADH [c] --> GDP-L-fucose [c] + NAD+ [c],ok,ok,ok,0,bad,Carbohydrates
MAR04400,GDP-4-dehydro-6-deoxy-D-mannose [c] + H+ [c] + NADH [c] --> GDP-L-fucose [c] + NAD+ [c],ok,ok,ok,0,bad,Glycans
MAR04401,GDP-L-fucose [c] + PPi [c] <=> GTP [c] + H+ [c] + L-fucose-1-phosphate [c],ok,ok,ok,0,ok,Carbohydrates
MAR04402,6-deoxy-L-galactose [c] + ATP [c] <=> ADP [c] + H+ [c] + L-fucose-1-phosphate [c],ok,ok,ok,0,ok,Carbohydrates
MAR04403,6-deoxy-L-galactose [c] --> L-fuculose [c],ok,ok,bad,285,ok,Not in KEGG
MAR04490,ATP [c] + mannose [c] --> ADP [c] + H+ [c] + mannose-6-phosphate [c],ok,ok,ok,0,ok,Carbohydrates
MAR04490,ATP [c] + mannose [c] --> ADP [c] + H+ [c] + mannose-6-phosphate [c],ok,ok,ok,0,ok,Secondary metabolites
MAR04706,"fructose-2,6-bisphosphate [c] + H2O [c] --> fructose-6-phosphate [c] + Pi [c]",ok,ok,ok,0,ok,Carbohydrates
MAR08768,GDP-4-dehydro-6-deoxy-D-mannose [c] + H+ [c] + NADPH [c] --> GDP-L-fucose [c] + NADP+ [c],ok,ok,ok,0,bad,Carbohydrates
MAR08768,GDP-4-dehydro-6-deoxy-D-mannose [c] + H+ [c] + NADPH [c] --> GDP-L-fucose [c] + NADP+ [c],ok,ok,ok,0,bad,Glycans
MAR04590,H+ [c] + L-xylulose [c] + NADPH [c] --> NADP+ [c] + xylitol [c],bad,ok,ok,0,bad,Carbohydrates
MAR04591,"NAD+ [c] + xylitol [c] --> H+ [c] + L-xylulose [c] + NADH [c]",bad,ok,ok,0,bad,Lipids
MAR04592,D-xylose [c] + H+ [c] + NADPH [c] <=> NADP+ [c] + xylitol [c],ok,ok,ok,0,ok,Carbohydrates
MAR04592,D-xylose [c] + H+ [c] + NADPH [c] <=> NADP+ [c] + xylitol [c],ok,ok,ok,0,ok,Lipids
MAR04592,D-xylose [c] + H+ [c] + NADPH [c] <=> NADP+ [c] + xylitol [c],ok,ok,ok,0,ok,Cofactors
MAR04593,"NAD+ [c] + xylitol [c] --> D-xylulose [c] + H+ [c] + NADH [c]",ok,ok,ok,0,ok,Carbohydrates
MAR04594,D-xylose [c] + NADP+ [c] --> D-xylonolactone [c] + H+ [c] + NADPH [c],ok,ok,bad,443,ok,Carbohydrates
MAR04594,D-xylose [c] + NADP+ [c] --> D-xylonolactone [c] + H+ [c] + NADPH [c],ok,ok,bad,443,ok,Xenobiotics
MAR04595,ADP [c] + D-xylulose-5-phosphate [c] + H+ [c] <=> ATP [c] + D-xylulose [c],ok,ok,ok,0,ok,Carbohydrates
MAR08341,H+ [c] + L-arabinose [c] + NADPH [c] --> L-arabitol [c] + NADP+ [c],ok,ok,ok,0,ok,Xenobiotics
MAR08341,H+ [c] + L-arabinose [c] + NADPH [c] --> L-arabitol [c] + NADP+ [c],ok,ok,ok,0,ok,Carbohydrates
MAR08341,H+ [c] + L-arabinose [c] + NADPH [c] --> L-arabitol [c] + NADP+ [c],ok,ok,ok,0,ok,Lipids
MAR08341,H+ [c] + L-arabinose [c] + NADPH [c] --> L-arabitol [c] + NADP+ [c],ok,ok,ok,0,ok,Cofactors
MAR08342,H+ [c] + L-xylulose [c] + NADH [c] <=> L-arabitol [c] + NAD+ [c],ok,ok,ok,0,ok,Not in KEGG
MAR08344,glucuronate [r] + H+ [r] + NADPH [r] <=> L-gulonate [r] + NADP+ [r],bad,ok,ok,0,ok,Carbohydrates
MAR08344,glucuronate [r] + H+ [r] + NADPH [r] <=> L-gulonate [r] + NADP+ [r],bad,ok,ok,0,ok,Lipids
MAR08344,glucuronate [r] + H+ [r] + NADPH [r] <=> L-gulonate [r] + NADP+ [r],bad,ok,ok,0,ok,Xenobiotics
MAR08352,3-dehydro-L-gulonate [c] + H+ [c] + NADH [c] <=> L-gulonate [c] + NAD+ [c],ok,ok,ok,0,ok,Carbohydrates
MAR08353,3-dehydro-L-gulonate [c] + H+ [c] <=> CO2 [c] + L-xylulose [c],ok,ok,ok,0,ok,Not in KEGG
